"I","L","Amb 1","Amb 2","Mean % T","Mean % TL","Mean % P","Mean % PL","Mean % Null"
10,100,35,20,32.2222042588961,11.5363794780436,46.7048547321095,7.57136920360993,1.59786884622426
50,100,35,20,32.5242253834731,15.0014162747809,43.3361486899528,7.07524541422172,2.03915471376198
100,100,35,20,32.1491390901613,16.0058138567733,42.5766769949345,6.00279873536729,3.25604751323979
150,100,35,20,32.4644724362636,15.8116991353686,42.5516924699801,5.91463049955334,3.18474017480963
200,100,35,20,31.8875481469647,16.0026550063067,43.7897276388996,5.66761957919276,2.64754766785187
