name,I size,L size,S size,model time,best obj,best bound,gap %,status,total time,k1,k2
Instance_900_50_,900,50,100,5070.978679,5.21865,5.75985,10.37049812,2,10834.73212,10,6
Instance_900_50_,900,50,100,10815.43616,8.1585,9.5902,17.54856898,2,10819.10793,20,11
Instance_900_50_,900,50,100,8162.801022,10.8234,13.97065,29.07820094,2,10818.95241,35,20
