"I","L","Amb 1","Amb 2","Mean % T","Mean % TL","Mean % P","Mean % PL","Mean % N"
10,100,35,20,32.3338362309285,11.747225156075,47.0364197188469,7.0322690955443,1.59786884622426
50,100,35,20,32.5668980097133,14.9499132070543,43.43393240818,7.0130777863147,2.01236906492818
100,100,35,20,32.1725233040556,15.9675091111267,42.725564675957,5.95051381277473,3.17436528656221
150,100,35,20,32.4644724362636,15.8116991353686,42.5516924699801,5.91463049955334,3.18474017480963
200,100,35,20,31.8875481469647,16.0026550063067,43.7897276388996,5.66761957919276,2.64754766785187
