S,I,M1 k1,M2 k1,M1 k2,M2 k2
9,60,0,21.90909091,0,14.8
9,61,0,19,0,18
9,62,9,18.5,0,17
9,64,0,13.5,0,22
9,65,0,19.7,0,14.2
9,68,0,15.75,0,25
9,69,0,24,0,18
9,70,0,20.18181818,0,21.8
9,71,0,18.16666667,0,13
9,72,0,26.33333333,0,16
9,73,0,21,0,0
9,75,0,29.66666667,0,20
9,76,0,19.625,0,20.75
9,77,0,21.25,0,19.88888889
9,78,0,25.2,0,26
9,81,0,23.08333333,0,24.16666667
9,83,0,17.9,0,21.8
9,84,0,28,0,20
9,85,0,32,0,0
9,87,0,23,0,19
9,96,0,21.25,0,18
9,98,14,21,14.5,19
9,102,21,19.6,20,20.5
9,104,0,19.41666667,0,21.16666667
9,110,0,25.33333333,0,23.25
9,143,0,20.21428571,0,20.57142857
10,54,0,23,0,20
10,57,0,17,0,15
10,58,0,21,0,23
10,59,9,23,0,14
10,61,0,20.33333333,0,18
10,65,0,15.25,0,14
10,66,0,25.875,0,18.25
10,69,0,20.42857143,0,20.71428571
10,70,0,18.5,0,25
10,71,0,18,0,22
10,73,0,23.5,0,27
10,74,0,17.66666667,0,17
10,75,0,21.9,0,27.6
10,77,0,18.5,0,17
10,78,0,20.4,0,27.5
10,79,0,18.25,0,19.16666667
10,81,0,17,0,10
10,82,0,20.77777778,0,19.5
10,86,0,18,0,0
10,87,0,22,0,23.5
10,88,0,17.57142857,0,22
10,89,0,23.625,0,21.5
10,90,0,18,0,22
10,91,0,23.30769231,0,28.16666667
10,92,0,20.25,0,21.5
10,93,0,23.5,0,20.5
10,97,0,23.5,0,32
10,99,0,13,0,0
10,100,0,16.4,0,24.5
10,117,20.66666667,26.25,21.5,17.5
10,134,0,17.4,0,15.8
Mean,Average,15.26666667,20.00666834,15.47058824,20.00897605
