"I","L","S","% Full accident coverage","% Partial1 accident coverage","% Partial2 accident coverage","% Partial3 accident coverage","% Null accident coverage"
168,100,10,39.8350723988655,12.3315408729202,44.2880981087878,3.54528861942655,0
168,100,50,22.5852947618958,18.896471402436,19.8244340563116,38.6937997793565,0
168,100,100,0.953813471767192,12.7136675603817,7.25091143530498,79.0816075325461,0
168,100,150,1.15164301668563,12.9590863911674,6.59596415219851,79.2406748610011,0.0526315789473684
168,100,200,1.19689617593602,15.7328525345731,0,82.1860857598255,0.884165529665431
270,100,10,33.2556929601892,7.09016891362773,50.2314399558121,9.08936483703769,0
270,100,50,24.4373520779507,13.6262643699872,19.4335490301635,41.2358339293564,1.26700059254213
270,100,100,1.05315432384604,14.6346289212339,6.09811925045227,77.3520654788561,0.862032025611747
270,100,150,1.22744456326115,14.5148021295199,6.8607172759614,76.2928177364581,1.10421829479945
270,100,200,1.15421845814457,19.120333791425,0,77.9279179530453,1.79752979738515
500,100,10,37.2156484412896,3.82351440925295,45.4404103890358,9.83144369134266,3.68898306907902
500,100,50,26.591002418595,14.857586012353,16.5362321356434,34.3525353053773,7.66264412803124
500,100,100,0.909399720703267,18.1178286581245,3.44591409939705,73.1987482907666,4.32810923100856
500,100,150,0.791984200932165,18.1205568148645,2.79752094107865,74.8990774621119,3.39086058101282
500,100,200,0.42004918333707,21.694823875455,0,66.2540610452695,11.6310658959385
900,100,10,44.2967264539785,0.875420875420875,22.7132091886354,13.0756630960995,19.0389803858657
900,100,50,25.1152905177175,14.2855319970113,7.62661401401913,31.1414048654251,21.831158605827
900,100,100,0.909540788573878,21.1976796877526,3.23711743673652,66.1317148572961,8.52394722964096
900,100,150,1.03553474996705,22.192036787291,3.89431598649931,62.8628793370137,10.015233139229
900,100,200,1.02914605075045,21.5269509735745,3.52951986470784,61.2758240082371,12.6385591027302
1500,100,10,43.0254960568578,1.69002730606328,32.7168219926515,12.8651490807984,9.70250556362896
1500,100,50,33.0282135184369,12.1739524176738,9.6219243730238,17.090555603499,28.0853540873665
1500,100,100,19.1004003974113,13.2022722965311,6.83673091151378,36.140764576171,24.7198318183728
1500,100,150,1.604632887544,24.7805870636084,4.50442490638902,56.2705091114528,12.8398460310058
1500,100,200,0.71313941078568,26.2556013370768,0,54.8638404233369,18.1674188288006
