time,best,best bound,gap
7.13580846786499,56.54000000000006,95.88600000000179,69.58967102936272
time,best,best bound,gap
7.136792898178101,56.54000000000006,95.88600000000179,69.58967102936272
time,best,best bound,gap
7.302274465560913,56.54000000000006,64.56550000000078,14.194375663248513
time,best,best bound,gap
7.419029474258423,64.4130000000006,64.56550000000078,0.23675345039073903
time,best,best bound,gap
7.562562465667725,64.4130000000006,64.48750000000078,0.11565988232217798
time,best,best bound,gap
7.571059226989746,64.4130000000006,64.48750000000078,0.11565988232217798
time,best,best bound,gap
7.571059226989746,64.4130000000006,64.48750000000078,0.11565988232217798
time,best,best bound,gap
8.20567011833191,64.4130000000006,64.48750000000086,0.11565988232231036
time,best,best bound,gap
8.20567011833191,64.4130000000006,64.48750000000086,0.11565988232231036
time,best,best bound,gap
8.347847938537598,64.4130000000006,64.48550000000085,0.11255491903848638
time,best,best bound,gap
8.451770544052124,64.4130000000006,64.48550000000085,0.11255491903848638
time,best,best bound,gap
8.462993621826172,64.4130000000006,64.43050000000083,0.027168428733702385
