name,I size,L size,S size,best obj,best obj sabc,best obj matheuristic,mejora mec vs sabc,mejora sabc vs math,% mejora mec vs sabc,% mejora sabc vs math,model time sabc,model time matheuristic,total time matheuristic
Instance_168_50_,168,50,10,7.29,6.49,6.97,,1,-10.98146877,4.31765613,2908.63,3.12,3069.81
Instance_168_50_,168,50,50,6.58,6.44,6.56,,,-2.149639195,0.419189567,10806.89,11.86,3088.00
Instance_168_50_,168,50,100,5.87,6.42,6.45,1,,9.346057172,1.755575358,10810.25,24.75,3356.88
Instance_168_50_,168,50,150,5.04,6.38,6.40,1,,26.49460931,0.579430871,10813.55,41.31,3242.55
Instance_168_50_,168,50,200,4.67,6.38,6.40,1,,36.4566171,0.526868738,10817.94,47.44,2487.17
Instance_270_50_,270,50,10,8.73,8.05,8.35,,1,-7.736389685,0.99378882,8233.90,3.95,3287.56
Instance_270_50_,270,50,50,7.54,7.38,7.46,,1,-2.04379562,2.045793253,10806.19,13.27,3330.74
Instance_270_50_,270,50,100,6.86,7.83,7.85,1,,14.23685803,0.75768698,10810.57,33.12,1390.74
Instance_270_50_,270,50,150,5.98,7.81,7.81,1,,30.60540685,0.677585978,10817.77,50.45,3615.61
Instance_270_50_,270,50,200,4.59,7.50,7.50,1,,63.48615064,0.244511782,10821.08,64.36,3625.30
Instance_500_50_,500,50,10,10.16,9.25,9.64,,,-8.977703401,1.789866436,10805.04,7.58,3590.10
Instance_500_50_,500,50,50,9.41,9.55,9.61,1,,1.450507508,0.72797728,10808.06,28.69,1280.20
Instance_500_50_,500,50,100,8.02,9.95,9.98,1,,24.04384866,0.187900041,10814.43,57.38,2298.09
Instance_500_50_,500,50,150,7.61,9.78,9.80,1,,28.45657216,0.246241887,10821.56,103.02,3588.91
Instance_500_50_,500,50,200,4.18,9.88,9.90,1,,136.6725333,0.009105799,10828.09,144.45,1760.14
Instance_900_50_,900,50,10,13.44,12.54,12.93,,1,-6.709336648,1.388113283,10803.26,9.12,3334.56
Instance_900_50_,900,50,50,11.99,12.29,12.30,1,1,2.4943689,0.138368875,10813.11,69.66,3534.50
Instance_900_50_,900,50,100,10.82,12.29,12.29,1,1,13.57937432,0.128933593,10818.95,136.54,3635.14
Instance_900_50_,900,50,150,9.12,11.84,11.84,1,1,29.78315905,0.699747081,10825.67,268.54,2024.45
Instance_900_50_,900,50,200,5.27,11.99,12.02,1,1,127.5899052,0.521704318,10835.75,416.23,3833.63
Instance_1500_50_,1500,50,10,13.77,12.78,13.27,,,-7.184085444,2.205882273,10804.24,9.83,2968.26
Instance_1500_50_,1500,50,50,14.08,13.71,13.73,,1,-2.662595853,0.455904953,10810.78,123.77,3712.32
Instance_1500_50_,1500,50,100,12.61,13.83,13.84,1,,9.704251386,0.140289474,10820.77,339.85,1391.06
Instance_1500_50_,1500,50,150,11.30,14.08,14.08,1,,24.62620515,0.13392603,10832.53,644.85,3612.54
Instance_1500_50_,1500,50,200,5.97,14.11,14.11,1,1,136.4298404,0.331411031,10847.24,657.23,3737.14
