"I","L","S","% Full accident coverage","% Partial1 accident coverage","% Partial2 accident coverage","% Partial3 accident coverage","% Null accident coverage","NA"
168,100,10,20.770530044668,4.094394685774,40.3104091310988,25.5912650567823,9.23340108167694,35
168,100,50,16.0640907447577,5.08171884468762,38.6614465238025,31.9717056906959,8.22103819605637,35
168,100,100,14.3266176534673,5.07912871987325,39.0622798236587,31.8575911003863,9.67438270261438,35
168,100,150,15.2397650729883,3.74382850031346,38.1096780836414,32.1559148695524,10.7508134735045,35
168,100,200,14.0486709083817,5.11909990938943,39.065754450516,32.3553268900506,9.4111478416623,35
270,100,10,11.6613396458546,0.679723502304147,66.1368568593555,8.1832339254914,13.3388460669943,35
270,100,50,15.7768271493441,3.12240468729659,50.2823482733309,16.0560960891524,14.762323800876,35
270,100,100,13.2084721100299,3.27843214743976,42.8193053319961,23.3538450038247,17.3399454067095,35
270,100,150,12.1973264289822,2.95404497938868,43.9197132348912,23.2843334865211,17.6445818702168,35
270,100,200,13.3645095704056,2.49034092144161,42.2018222777419,26.503848333332,15.4394788970788,35
500,100,10,13.8614685238235,2.14588447258537,54.1370797852754,5.80474987224226,24.0508173460735,35
500,100,50,14.0289278706668,2.1753998421355,47.6008532934778,13.0688284361836,23.1259905575363,35
500,100,100,15.4722029034023,1.710426881994,47.378009468929,12.9396947966076,22.4996659490672,35
500,100,150,12.1393795695003,3.3375708898199,44.7265301490252,14.5686185708988,25.2279008207558,35
500,100,200,13.3261900073986,1.29817825414632,48.1068629069396,15.0839603294622,22.1848085020533,35
900,100,10,20.9194876034488,0.788113695090439,55.082623640563,2.20870354249287,21.0010715184049,35
900,100,50,14.6241275893333,1.21556257640733,49.8281890000689,6.44986374140183,27.8822570927887,35
900,100,100,16.3495239275147,1.44152271613914,46.9837198557296,7.99151411659083,27.2337193840257,35
900,100,150,15.909523304226,0.985016147735355,47.1060315507533,9.24624157138997,26.7531874258954,35
900,100,200,13.4757710247364,0.874888609370117,46.951599010074,10.5157617742383,28.1819795815811,35
1500,100,10,19.8252752693757,0.750962772785623,45.7353389701172,2.06288599168559,31.6255369960359,35
1500,100,50,17.5519289710331,1.64231881738174,42.9721923922097,4.72634375249387,33.1072160668815,35
1500,100,100,15.5004637114583,0.718300425646523,46.4383601604318,4.66059076792919,32.6822849345342,35
1500,100,150,15.704645469397,0.868717709552419,44.2736019297816,5.86655292930823,33.2864819619608,35
1500,100,200,19.0177636883624,1.12003791038336,43.0268357964946,5.71425226786889,31.1211103368907,35
