name,I size,L size,S size,best obj,best obj sabc,best obj matheuristic,mejora mec vs sabc,mejora sabc vs math,% mejora mec vs sabc,% mejora sabc vs math,model time sabc,model time matheuristic,total time matheuristic
Instance_168_50_,168,50,10,7.285,6.485,6.53,,1,,0.693909021,1.933513165,2.017374992,7.817949057
Instance_168_50_,168,50,50,6.5825,6.441,6.441,,,,,9.177802086,10.25095606,11.10226297
Instance_168_50_,168,50,100,5.86825,6.4167,6.4167,1,,9.346057172,,21.74870515,21.91265512,23.61874008
Instance_168_50_,168,50,150,5.040522223,6.375988893,6.375988893,1,,26.4946093,,32.00175786,32.87989283,35.40539122
Instance_168_50_,168,50,200,4.6735,6.3773,6.3773,1,,36.4566171,,40.64542484,41.00265503,44.55865884
Instance_270_50_,270,50,10,8.725,8.05,8.085,,1,,0.434782609,2.475246906,2.996434927,11.1290822
Instance_270_50_,270,50,50,7.535,7.381,7.389,,1,,0.108386398,10.40368605,11.40451622,39.89519
Instance_270_50_,270,50,100,6.85685,7.83305,7.83305,1,,14.23685803,,29.1980679,29.68978095,31.75448298
Instance_270_50_,270,50,150,5.9789,7.80876667,7.80876667,1,,30.60540685,,43.98116302,44.90455008,48.20571899
Instance_270_50_,270,50,200,4.59045,7.504750002,7.504750002,1,,63.48615064,,52.58640003,53.20423913,57.35867524
Instance_500_50_,500,50,10,10.1585,9.2465,9.2465,,,,,3.963812828,4.452082157,5.803249121
Instance_500_50_,500,50,50,9.4105,9.547000009,9.547000009,1,,1.450507504,,22.68291807,21.10080719,22.87816501
Instance_500_50_,500,50,100,8.02305,9.9521,9.9521,1,,24.04384866,,53.33730912,49.58741593,52.38507605
Instance_500_50_,500,50,150,7.611988889,9.7781,9.7781,1,,28.45657216,,82.45901895,79.32621789,83.31278205
Instance_500_50_,500,50,200,4.17615,9.883800001,9.883800001,1,,136.6725333,,113.7396307,113.916533,119.4184189
Instance_900_50_,900,50,10,13.43650002,12.535,12.603,,1,,0.542481053,6.987569094,9.685884237,30.38612676
Instance_900_50_,900,50,50,11.987,12.286,12.301,1,1,2.4943689,0.122090184,64.10317993,53.19392896,191.0319932
Instance_900_50_,900,50,100,10.8234,12.29315,12.29565,1,1,13.57937432,0.020336529,127.5110703,131.240082,400.3971059
Instance_900_50_,900,50,150,9.119844444,11.83602222,11.91226667,1,1,29.78315908,0.644172873,253.480993,225.1521213,752.151572
Instance_900_50_,900,50,200,5.26805,11.98405,12.04855,1,1,127.4855022,0.53821538,326.0147681,328.0058341,1011.094067
Instance_1500_50_,1500,50,10,13.77350002,12.78400001,12.78400001,,,,,7.723381996,9.160363913,9.87343812
Instance_1500_50_,1500,50,50,14.084,13.709,13.7235,,1,,0.10576994,84.97249794,101.1373978,364.0819089
Instance_1500_50_,1500,50,100,12.6053,13.82855,13.82855,1,,9.704251386,,318.0422812,318.9715331,322.915951
Instance_1500_50_,1500,50,150,11.29704444,14.03975556,14.03975556,1,,24.27812983,,327.4300721,327.6437907,334.00787
Instance_1500_50_,1500,50,200,5.9664,14.0559,14.0723,1,1,135.5842719,0.116676984,336.1191068,329.744765,1046.742851
