time,best,best bound,gap
1.1327154636383057,11.656111111111102,24.026388888888746,-12.370277777777645
time,best,best bound,gap
1.1327154636383057,11.656111111111102,24.026388888888746,-12.370277777777645
time,best,best bound,gap
1.1663093566894531,11.656111111111102,18.000046296296134,-6.343935185185032
time,best,best bound,gap
1.218956708908081,17.46013888888873,18.000046296296134,-0.5399074074074051
time,best,best bound,gap
1.2382469177246094,17.46013888888873,17.85348306530198,-0.39334417641325103
time,best,best bound,gap
1.274160385131836,17.635138888888726,17.85348306530198,-0.21834417641325388
time,best,best bound,gap
1.2800979614257812,17.635138888888726,17.850974948637685,-0.21583605974895903
time,best,best bound,gap
1.3085777759552002,17.635138888888726,17.850974948637685,-0.21583605974895903
time,best,best bound,gap
1.3292155265808105,17.635138888888726,17.747529697892432,-0.11239080900370624
time,best,best bound,gap
1.3508806228637695,17.68708333333317,17.747529697892432,-0.06044636455926167
time,best,best bound,gap
1.3577806949615479,17.68708333333317,17.74518336303548,-0.05810002970230954
time,best,best bound,gap
1.420267105102539,17.68708333333317,17.74518336303548,-0.05810002970230954
time,best,best bound,gap
1.4610240459442139,17.68708333333317,17.688197089497088,-0.001113756163917401
