name,I size,L size,S size,time,best obj,best bound,gap %,status,int gap
Instance_500_16_150,500,16,150,143.725409,23.2879,23.28793334,0.000143147,2,0
Instance_500_30_150,500,30,150,291.9304371,24.0386,24.03858889,4.6222E-05,2,0
Instance_500_50_150,500,50,150,575.1888881,24.173,24.17387778,0.003631232,2,0
Instance_500_70_150,500,70,150,940.5695441,24.9862,24.98802222,0.007292915,2,0
Instance_500_100_150,500,100,150,4742.145574,23.5495,23.54946667,0.000141546,2,0
Instance_500_16_200,500,16,200,178.794414,24.4693,24.46925,0.000204338,2,0
Instance_500_30_200,500,30,200,382.4829671,24.709,24.71134306,0.009482599,2,0
Instance_500_50_200,500,50,200,1462.508805,24.2322,24.23256409,0.001502498,2,0
Instance_500_70_200,500,70,200,3027.272479,23.6969,23.69685,0.000210998,2,0
Instance_500_100_200,500,100,200,9618.00885,24.0096,24.0096,2.98901E-12,2,0
Instance_900_16,900,16,10,10.29356408,29.6245,29.6245,8.39474E-14,2,0
Instance_900_30,900,30,10,10.85585928,28.317,28.317,1.38008E-13,2,0
Instance_900_50,900,50,10,23.95709682,32.7055,32.7055,4.3451E-14,2,0
Instance_900_70,900,70,10,30.8938241,26.818,26.85078981,0.122267913,2,0
Instance_900_100,900,100,10,68.16184402,32.1295,32.29150694,0.504231141,2,0
Instance_900_16_50,900,16,50,36.96775889,30.07,30.07,1.85493E-12,2,0
Instance_900_30_50,900,30,50,60.45226812,29.614,29.62,0.020260688,2,0
Instance_900_50_50,900,50,50,125.2845039,31.206,31.206,1.18401E-12,2,0
Instance_900_70_50,900,70,50,251.2299798,29.1165,29.129,0.042930984,2,0
Instance_900_100_50,900,100,50,392.3642831,31.1105,31.1105,3.52868E-12,2,0
Instance_900_16_100,900,16,100,66.74210811,30.1279,30.13912592,0.037260878,2,0
Instance_900_30_100,900,30,100,149.4861271,29.599,29.60103557,0.006877154,2,0
Instance_900_50_100,900,50,100,346.1072581,30.9133,30.91325,0.000161743,2,0
Instance_900_70_100,900,70,100,582.1512449,29.9692,29.96915,0.000166838,2,0
Instance_900_100_100,900,100,100,1093.193105,29.5462,29.54615,0.000169226,2,0
Instance_900_16_150,900,16,150,109.7506061,29.4192,29.41918889,3.77682E-05,2,0
Instance_900_30_150,900,30,150,332.499598,29.6491,29.64907778,7.49507E-05,2,0
Instance_900_50_150,900,50,150,641.6888871,29.4827,29.48271111,3.76869E-05,2,0
Instance_900_70_150,900,70,150,978.884089,29.963,29.96304444,0.000148331,2,0
Instance_900_100_150,900,100,150,2846.255799,30.6694,30.66936667,0.000108686,2,0
Instance_900_16_200,900,16,200,229.401052,29.8187,29.8187,1.62036E-12,2,0
Instance_900_30_200,900,30,200,439.7528551,30.6988,30.6988,1.62019E-13,2,0
Instance_900_50_200,900,50,200,1054.1811,30.4232,30.42315,0.000164348,2,0
Instance_900_70_200,900,70,200,2459.598738,30.5439,30.54385,0.000163699,2,0
Instance_900_100_200,900,100,200,10506.89217,29.6419,29.6437838,0.00635518,2,0
Instance_1500_16,1500,16,10,31.89702916,35.137,35.137,2.02221E-14,2,0
Instance_1500_30,1500,30,10,17.30019712,39.6075,39.6225,0.037871615,2,0
Instance_1500_50,1500,50,10,21.29300618,33.1075,33.1075,2.14617E-14,2,0
Instance_1500_70,1500,70,10,39.84468293,34.9855,34.9855,6.09289E-14,2,0
Instance_1500_100,1500,100,10,59.73051381,30.058,30.078,0.066538026,2,0
Instance_1500_16_50,1500,16,50,40.41866183,37.334,37.338,0.010714094,2,0
Instance_1500_30_50,1500,30,50,85.45816708,35.533,35.59497808,0.174424005,2,0
Instance_1500_50_50,1500,50,50,149.6752899,34.609,34.6115,0.007223555,2,0
Instance_1500_70_50,1500,70,50,271.3906062,36.5705,36.5705,4.02189E-12,2,0
Instance_1500_100_50,1500,100,50,439.549257,33.7205,33.735,0.043000549,2,0
Instance_1500_16_100,1500,16,100,79.58697796,33.8123,33.83117028,0.055808919,2,0
Instance_1500_30_100,1500,30,100,175.9131551,35.4196,35.4236222,0.011355846,2,0
Instance_1500_50_100,1500,50,100,358.6364968,35.1674,35.1674,1.01023E-13,2,0
Instance_1500_70_100,1500,70,100,527.7768428,35.6555,35.66192492,0.018019433,2,0
Instance_1500_100_100,1500,100,100,1625.477649,35.9288,35.92978043,0.002728827,2,0
Instance_1500_16_150,1500,16,150,131.6758709,36.13598889,36.15111954,0.041871422,2,0
Instance_1500_30_150,1500,30,150,322.9383399,36.76938889,36.76938889,0,2,0
Instance_1500_50_150,1500,50,150,716.9810088,36.01956667,36.01956667,0,2,0
Instance_1500_70_150,1500,70,150,1304.149641,35.46648889,35.46648889,0,2,0
Instance_1500_16_200,1500,16,200,181.1472578,35.1354,35.1354,0,2,0
Instance_1500_30_200,1500,30,200,500.162426,36.42795,36.42795,0,2,0
Instance_1500_50_200,1500,50,200,1011.571099,36.05745,36.05745,0,2,0
Instance_1500_70_200,1500,70,200,2718.543382,36.1648,36.1648,0,2,0
