name,I size,L size,S size,best obj,best obj sabc,best obj matheuristic,mejora mec vs sabc,mejora sabc vs math,% mejora mec vs sabc,% mejora sabc vs math,model time sabc,model time matheuristic,total time matheuristic
Instance_168_100_,168,100,10,7.865,7.070000095,7.070000095,,,,,10802.61484,3.38936615,3.954057932
Instance_168_100_,168,100,50,5.156,6.463000009,6.463000009,1,,25.34910801,,10807.95754,12.98286414,14.58031106
Instance_168_100_,168,100,100,1.8485,6.6976,6.6976,1,,262.3262105,,10817.48658,28.21612072,31.40055108
Instance_168_100_,168,100,150,1.9081,6.85182223,6.85182223,1,,259.0913594,,10834.64573,47.20537329,52.28161693
Instance_168_100_,168,100,200,1.93335,6.8329,6.8329,1,,253.4228153,,10843.43668,61.62520099,68.44930315
Instance_270_100_,270,100,10,8.825000011,8.255000064,8.355,,1,,1.211386255,10803.15135,4.28924489,16.84511709
Instance_270_100_,270,100,50,6.71,8.6855,8.6855,1,,29.44113264,,10810.63043,21.67675805,24.00049591
Instance_270_100_,270,100,100,2.32665,8.208650004,8.208650004,1,,252.8098341,,10821.05647,40.01061583,44.0955348
Instance_270_100_,270,100,150,2.410977778,8.375244449,8.375244449,1,,247.3795788,,10829.89214,66.89989781,73.48331499
Instance_270_100_,270,100,200,2.4159,8.15665,8.15665,1,,237.6236599,,10854.43302,78.04365206,86.07629323
Instance_500_100_,500,100,10,10.6315,10.0945,10.0945,,,,,10804.22544,5.94787097,7.00387907
Instance_500_100_,500,100,50,8.169,10.101,10.124,1,1,23.6503856,0.22770023,10813.27953,28.25521898,100.1921189
Instance_500_100_,500,100,100,2.97905,10.40835,10.4282,1,1,249.384871,0.190712265,10831.03703,67.842309,228.340621
Instance_500_100_,500,100,150,2.864533333,10.12661111,10.12661111,1,,253.5169584,,10838.22191,111.4652131,119.0026579
Instance_500_100_,500,100,200,2.78645,10.29585,10.29585,1,,269.4970304,,10905.88789,138.2317522,149.4282568
Instance_900_100_,900,100,10,13.5535,12.79,12.8315,,1,,0.324472244,10805.44247,8.441001892,29.06443095
Instance_900_100_,900,100,50,9.42,12.4165,12.4165,1,,31.80997877,,10819.42268,60.481668,63.87871385
Instance_900_100_,900,100,100,3.59,12.18375,12.18375,1,,239.3802228,,10834.90574,134.2344398,140.2725081
Instance_900_100_,900,100,150,3.789922222,12.71902222,12.71902222,1,,235.6011411,,10850.70805,270.8171449,280.4540319
Instance_900_100_,900,100,200,3.5589,12.4005,12.4005,1,,248.4363146,,10907.72054,330.7088661,342.9210479
Instance_1500_100_,1500,100,10,13.206,12.887,12.889,,1,,0.015519516,10809.18132,9.180001974,29.14354801
Instance_1500_100_,1500,100,50,12.063,13.6875,13.6875,1,,13.4667993,,10819.46857,80.83395815,84.29973912
Instance_1500_100_,1500,100,100,8.8318,14.67245,14.67245,1,,66.13204556,,10849.66586,336.348181,343.9028308
Instance_1500_100_,1500,100,150,4.627588889,14.60712222,14.60712222,1,,215.6529798,,10861.17578,353.2579,364.2452028
Instance_1500_100_,1500,100,200,4.2533,14.3678,14.41435,1,1,237.8035878,0.323988387,10910.063,367.7841768,1167.824947
