"I","L","Amb 1","Amb 2","Mean % T","Mean % TL","Mean % P","Mean % PL","Mean % Null"
168,100,35,20,13.14454396503,14.5267237522957,15.5918815505206,56.5494913104311,0.18735942172256
270,100,35,20,12.2255724766783,13.7972396251588,16.5247651024779,56.3795999869507,1.0061561420677
500,100,35,20,13.1856167929714,15.32286195401,13.644015513031,51.7071731589736,6.14033258101402
900,100,35,20,14.4772477121975,16.01552406421,8.20015529811965,46.8974972328143,14.4095756926586
1500,100,35,20,19.4943764542071,15.6204880841907,10.7359804367156,35.4461637590516,18.7029912658349
