I size,L size,S size,BLS,ALS,Runtime
168,16,10,10,6,6.391315937
168,16,50,10,6,11.66479111
168,16,100,10,6,22.84407306
168,16,150,10,6,33.46790981
168,16,200,10,6,45.56645584
270,16,10,10,6,3.885104179
270,16,50,10,6,17.83257413
270,16,100,10,6,35.054847
270,16,150,10,6,51.68181825
270,16,200,10,6,69.69162416
500,16,10,10,6,6.440819025
500,16,50,10,6,31.43131995
500,16,100,10,6,62.12542272
500,16,150,10,6,97.19288397
500,16,200,10,6,132.202899
900,16,10,10,6,18.20252228
900,16,50,10,6,72.99711275
900,16,100,10,6,130.0378718
900,16,150,10,6,194.5254929
900,16,200,10,6,304.120491
1500,16,10,10,6,35.83752489
1500,16,50,10,6,132.2274661
1500,16,100,10,6,259.6101449
1500,16,150,10,6,465.6158941
1500,16,200,10,6,708.0625489
168,16,10,20,11,3.056876898
168,16,50,20,11,11.78763795
168,16,100,20,11,22.2573781
168,16,150,20,11,33.07384396
168,16,200,20,11,44.21055889
270,16,10,20,11,3.368948936
270,16,50,20,11,17.71461177
270,16,100,20,11,37.25566602
270,16,150,20,11,50.30854011
270,16,200,20,11,70.65660119
500,16,10,20,11,6.094073296
500,16,50,20,11,31.75962496
500,16,100,20,11,65.11065817
500,16,150,20,11,104.0740311
500,16,200,20,11,128.6669092
900,16,10,20,11,15.15531921
900,16,50,20,11,65.40503621
900,16,100,20,11,131.7204039
900,16,150,20,11,220.350975
900,16,200,20,11,315.418093
1500,16,10,20,11,21.34458494
1500,16,50,20,11,156.1596618
1500,16,100,20,11,253.784266
1500,16,150,20,11,545.5486641
1500,16,200,20,11,688.5711808
168,16,10,35,20,2.76418519
168,16,50,35,20,11.85048485
168,16,100,35,20,22.09025693
168,16,150,35,20,33.07182884
168,16,200,35,20,44.25364923
270,16,10,35,20,3.513921022
270,16,50,35,20,17.63622403
270,16,100,35,20,34.06762075
270,16,150,35,20,50.36399794
270,16,200,35,20,67.50732923
500,16,10,35,20,6.477628946
500,16,50,35,20,32.34852767
500,16,100,35,20,61.23036313
500,16,150,35,20,98.37902308
500,16,200,35,20,131.2447629
900,16,10,35,20,13.75549507
900,16,50,35,20,72.06509209
900,16,100,35,20,138.9209549
900,16,150,35,20,197.0392573
900,16,200,35,20,299.339438
1500,16,10,35,20,20.37816024
1500,16,50,35,20,131.294785
1500,16,100,35,20,315.644599
1500,16,150,35,20,466.7809122
1500,16,200,35,20,663.1690178
