name,I size,L size,S size,best obj,best obj sabc,best obj matheuristic,mejora mec vs sabc,mejora sabc vs math,% mejora mec vs sabc,% mejora sabc vs math,model time sabc,model time matheuristic,total time matheuristic
Instance_168_50_,168,50,10,7.285,6.485,6.765,,1,-10.98146877,4.31765613,2908.634401,3.123209,432.56
Instance_168_50_,168,50,50,6.5825,6.441,6.468,,,-2.149639195,0.419189567,10806.88645,11.85662699,1578.21
Instance_168_50_,168,50,100,5.86825,6.4167,6.529350004,1,,9.346057172,1.755575358,10810.24798,24.75345302,5663.65
Instance_168_50_,168,50,150,5.040522223,6.375988893,6.412933341,1,,26.49460931,0.579430871,10813.54599,41.30833316,6781
Instance_168_50_,168,50,200,4.6735,6.3773,6.4109,1,,36.4566171,0.526868738,10817.94411,47.43832421,8605.7
Instance_270_50_,270,50,10,8.725,8.05,8.13,,1,-7.736389685,0.99378882,8233.9007,3.946022034,495.98
Instance_270_50_,270,50,50,7.535,7.381,7.532,,1,-2.04379562,2.045793253,10806.18889,13.26525712,2248.3
Instance_270_50_,270,50,100,6.85685,7.83305,7.8924,1,,14.23685803,0.75768698,10810.56641,33.11638379,5372.89
Instance_270_50_,270,50,150,5.9789,7.80876667,7.861677778,1,,30.60540685,0.677585978,10817.76941,50.45372295,8822.62
Instance_270_50_,270,50,200,4.59045,7.504750002,7.5231,1,,63.48615064,0.244511782,10821.07779,64.36053181,9266.65
Instance_500_50_,500,50,10,10.1585,9.2465,9.412,,,-8.977703401,1.789866436,10805.03798,7.584102869,749.23
Instance_500_50_,500,50,50,9.4105,9.547000009,9.6165,1,,1.450507508,0.72797728,10808.0614,28.69308805,4631.47
Instance_500_50_,500,50,100,8.02305,9.9521,9.9708,1,,24.04384866,0.187900041,10814.42831,57.37951493,10642.92
Instance_500_50_,500,50,150,7.611988889,9.7781,9.802177778,1,,28.45657216,0.246241887,10821.55668,103.0229261,15495.16
Instance_500_50_,500,50,200,4.17615,9.883800001,9.8847,1,,136.6725333,0.009105799,10828.09489,144.452884,21454.58
Instance_900_50_,900,50,10,13.43650002,12.535,12.709,,1,-6.709336648,1.388113283,10803.257,9.122143984,2101.81
Instance_900_50_,900,50,50,11.987,12.286,12.303,1,1,2.4943689,0.138368875,10813.10684,69.66368818,7234.77
Instance_900_50_,900,50,100,10.8234,12.29315,12.309,1,1,13.57937432,0.128933593,10818.95241,136.5419309,18273.48
Instance_900_50_,900,50,150,9.119844444,11.83602222,11.91884444,1,1,29.78315905,0.699747081,10825.67209,268.542779,33922.88
Instance_900_50_,900,50,200,5.26805,11.98955,12.0521,1,1,127.5899052,0.521704318,10835.75257,416.2309248,46997.01
Instance_1500_50_,1500,50,10,13.77350002,12.78400001,13.066,,,-7.184085444,2.205882273,10804.24361,9.825402975,1774.8
Instance_1500_50_,1500,50,50,14.084,13.709,13.77150001,,1,-2.662595853,0.455904953,10810.77986,123.7694211,17840.58
Instance_1500_50_,1500,50,100,12.6053,13.82855,13.84795,1,,9.704251386,0.140289474,10820.77224,339.846374,57936.35
Instance_1500_50_,1500,50,150,11.29704444,14.07907778,14.09793333,1,,24.62620515,0.13392603,10832.53354,644.8538311,68801.5
Instance_1500_50_,1500,50,200,5.9664,14.10635,14.1531,1,1,136.4298404,0.331411031,10847.24419,657.225801,76317.19
