time,best,best bound,gap %,status
23.928497791290283,0.20714444444441246,13.820333333336459,6571.833932309571,2
time,best,best bound,gap %,status
24.256220817565918,0.8582333333333814,13.820333333336459,1510.3235328390515,2
time,best,best bound,gap %,status
24.659950733184814,1.6006444444443155,13.820333333336459,763.4230657099096,2
time,best,best bound,gap %,status
171.94946885108948,2.1755555555554413,7.702585847502447,254.05144345007997,2
time,best,best bound,gap %,status
2288.0913038253784,4.714288888889231,7.593201483654282,61.06780179615535,2
time,best,best bound,gap %,status
4141.499588727951,4.8599444444447215,7.4903574426816135,54.12434294889215,2
time,best,best bound,gap %,status
7564.056871891022,4.961055555753558,7.305680614994162,47.260608813812574,2
time,best,best bound,gap %,status
7945.59471988678,5.040522222531225,7.3004360648287765,44.83491476727741,2
