"I","L","Amb 1","Amb 2","Mean % Full","Mean % P1","Mean % P2","Mean % P3","Mean % Null"
168,16,10,6,0,14.2516432107046,0,85.7483567892954,0
270,16,10,6,0,16.0543156144504,0,83.9456843855496,0
500,16,10,6,0,19.5146728016004,0,80.4853271983996,0
900,16,10,6,0,22.2210425914404,0,77.7789574085596,0
1500,16,10,6,0,26.3489896037903,0,73.6510103962097,0
168,16,20,11,0,14.2516432107046,0,85.7483567892954,0
270,16,20,11,0,16.0543156144504,0,83.9456843855496,0
500,16,20,11,0,19.5146728016004,0,80.4853271983996,0
900,16,20,11,0,22.2210425914404,0,77.7789574085596,0
1500,16,20,11,0,26.3489896037903,0,73.6510103962097,0
168,16,35,20,0,14.2516432107046,0,85.7483567892954,0
270,16,35,20,0,16.0543156144504,0,83.9456843855496,0
500,16,35,20,0,19.5146728016004,0,80.4853271983996,0
900,16,35,20,0,22.2210425914404,0,77.7789574085596,0
1500,16,35,20,0,26.3489896037903,0,73.6510103962097,0
