Elapsed time: 7.436271905899048
OnTime_1 3 1 175 0
OnTime_1 3 2 175 0
OnTime_1 3 1 176 0
OnTime_1 3 2 176 0
OnTime_1 3 1 177 0
OnTime_1 3 2 177 0
OnTime_1 3 1 179 0
OnTime_1 3 2 179 0
OnTime_1 3 1 183 0
OnTime_1 3 2 183 0
OnTime_1 3 1 186 0
OnTime_1 3 2 186 0
OnTime_1 3 1 187 0
OnTime_1 3 2 187 0
OnTime_1 3 1 188 0
OnTime_1 3 2 188 0
OnTime_1 3 1 190 -0
OnTime_1 3 2 190 0
OnTime_1 3 1 198 0
OnTime_1 3 2 198 0
OnTime_1 3 1 209 0
OnTime_1 3 2 209 0
OnTime_1 4 1 63 0
OnTime_1 4 2 63 0
OnTime_1 4 1 66 0
OnTime_1 4 2 66 0
OnTime_1 4 1 67 0
OnTime_1 4 2 67 0
OnTime_1 4 1 72 0
OnTime_1 4 2 72 0
OnTime_1 4 1 75 0
OnTime_1 4 2 75 0
OnTime_1 4 1 86 0
OnTime_1 4 2 86 0
OnTime_1 4 1 88 0
OnTime_1 4 2 88 0
OnTime_1 4 1 95 -0
OnTime_1 4 2 95 0
OnTime_1 4 1 121 0
OnTime_1 4 2 121 0
OnTime_1 4 1 123 0
OnTime_1 4 2 123 0
OnTime_1 4 1 124 0
OnTime_1 4 2 124 0
OnTime_1 4 1 128 0
OnTime_1 4 2 128 0
OnTime_1 4 1 129 0
OnTime_1 4 2 129 0
OnTime_1 4 1 130 0
OnTime_1 4 2 130 0
OnTime_1 4 1 137 0
OnTime_1 4 2 137 0
OnTime_1 4 1 145 0
OnTime_1 4 2 145 0
OnTime_1 4 1 146 -0
OnTime_1 4 2 146 -0
OnTime_1 4 1 164 0
OnTime_1 4 2 164 0
OnTime_1 4 1 173 0
OnTime_1 4 2 173 0
OnTime_1 4 1 174 0
OnTime_1 4 2 174 0
OnTime_1 4 1 175 0
OnTime_1 4 2 175 0
OnTime_1 4 1 176 0
OnTime_1 4 2 176 0
OnTime_1 4 1 177 0
OnTime_1 4 2 177 0
OnTime_1 4 1 179 0
OnTime_1 4 2 179 0
OnTime_1 4 1 183 0
OnTime_1 4 2 183 0
OnTime_1 4 1 186 0
OnTime_1 4 2 186 0
OnTime_1 4 1 187 0
OnTime_1 4 2 187 0
OnTime_1 4 1 188 0
OnTime_1 4 2 188 0
OnTime_1 4 1 190 0
OnTime_1 4 2 190 0
OnTime_1 4 1 198 0
OnTime_1 4 2 198 0
OnTime_1 4 1 209 0
OnTime_1 4 2 209 0
OnTime_1 5 1 63 0
OnTime_1 5 2 63 0
OnTime_1 5 1 66 -0
OnTime_1 5 2 66 -0
OnTime_1 5 1 67 0
OnTime_1 5 2 67 0
OnTime_1 5 1 72 0
OnTime_1 5 2 72 0
OnTime_1 5 1 75 0
OnTime_1 5 2 75 0
OnTime_1 5 1 86 0
OnTime_1 5 2 86 0
OnTime_1 5 1 88 -0
OnTime_1 5 2 88 -0
OnTime_1 5 1 95 0
OnTime_1 5 2 95 0
OnTime_1 5 1 121 0
OnTime_1 5 2 121 0
OnTime_1 5 1 123 0
OnTime_1 5 2 123 0
OnTime_1 5 1 124 0
OnTime_1 5 2 124 0
OnTime_1 5 1 128 0
OnTime_1 5 2 128 0
OnTime_1 5 1 129 0
OnTime_1 5 2 129 0
OnTime_1 5 1 130 0
OnTime_1 5 2 130 0
OnTime_1 5 1 137 0
