"Model","I","L","S","|K1|","|K2|","Locate_K1","Locate_K2","Delay_K1","Delay_K2","OnTime_K1","OnTime_K2","Dispatched_K1","Dispatched_K2"
"M1SinSupuesto","270","50","50","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","50","50","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","50","50","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","50","100","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","50","100","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","50","100","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","50","150","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","50","150","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","50","150","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","50","200","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","50","200","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","50","200","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","70","10","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","70","10","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","70","10","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","70","50","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","70","50","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","70","50","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","70","100","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","70","100","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","70","100","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","70","150","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","70","150","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","70","150","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","70","200","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","70","200","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","70","200","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","100","10","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","100","10","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","100","10","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
