"I","L","S","% Full accident coverage","% Partial1 accident coverage","% Partial2 accident coverage","% Partial3 accident coverage","% Null accident coverage","BLS ambulances","ALS ambulances"
168,16,10,16.2831643285285,1.64734859461026,70.9308284988583,1.64734859461026,9.49130998339269,10,6
168,16,50,13.6388048755254,7.62141189045102,59.5505417919742,15.9092435502895,3.27999789175991,10,6
168,16,100,1.75950678241217,20.0204582488589,5.67376437900544,71.8405908086728,0.705679781050625,10,6
168,70,10,14.8885719477923,0.816666666666667,80.9741762235765,0,3.32058516196447,10,6
168,70,50,0.57,12.1135286868278,2.68,83.407184118885,1.22928719428719,10,6
168,70,100,0.82011777632487,17.9682384244244,3.32890241909121,75.7700099574656,2.11273142269392,10,6
270,16,10,15.0437198832309,4.11101578397404,65.0971181411023,8.91101578397404,6.43713040771864,10,6
270,16,50,14.3012971832944,5.31410205124657,65.4507814157329,11.4255129067781,3.50830644294806,10,6
270,16,100,0.932916117698726,14.6644141668527,4.37885375494071,79.0289964019383,0.994819558569559,10,6
270,70,10,16.1113866106768,2.61598440545809,76.6858843444889,0.526315789473684,4.06042884990253,10,6
270,70,50,3.41204044344974,18.5888380172096,12.9232848879176,64.5552627808492,0.520573870573871,10,6
270,70,100,0.978369255543169,14.8076958301021,3.91513377926421,79.2276257589866,1.07117537610398,10,6
168,16,10,16.2831643285285,3.53876040860272,75.4232527554454,3.04135781120012,1.71346469622332,20,11
168,16,50,16.5020313541065,6.122570528406,67.9612574598981,6.82560904681522,2.58853161077417,20,11
168,16,100,14.0528459777074,9.21536535968676,53.5360502896908,21.0114964380021,2.18424193491302,20,11
168,70,10,15.2333995339992,2.96818181818182,76.6596516676727,1.81818181818182,3.32058516196447,20,11
168,70,50,0.272727272727273,17.3417079341097,1.72727272727273,79.3650367533362,1.29325531255405,20,11
168,70,100,0.12,19.0044788317897,0.64,78.7241302258414,1.51139094236896,20,11
270,16,10,16.9580055975166,3.72313699609525,70.2197251637094,3.52919760215586,5.56993464052288,20,11
270,16,50,16.26222985339,5.51313804873453,70.1991423535329,4.89208252559255,3.1334072187501,20,11
270,16,100,15.620733468534,7.62923279950992,58.7700895371983,15.7539584248346,2.2259857699232,20,11
270,70,10,17.1377024001504,3.7705763014293,74.701286398911,2.82708207299859,0.896686159844055,20,11
270,70,50,0.540045766590389,21.6128685808874,2.75972540045767,74.1875204250015,0.899839827063057,20,11
270,70,100,0,15.7436167931969,0,82.7369752957352,1.51940791106787,20,11
