I size,L size,S size,BLS,ALS,Runtime
168,16,10,10,6,2.788336039
168,16,50,10,6,13.60473323
168,16,100,10,6,29.70676589
168,16,150,10,6,39.42782617
168,16,200,10,6,49.05334711
270,16,10,10,6,4.353027105
270,16,50,10,6,19.19991612
270,16,100,10,6,35.92707205
270,16,150,10,6,53.0392952
270,16,200,10,6,81.05553985
500,16,10,10,6,14.79013896
500,16,50,10,6,36.4096148
500,16,100,10,6,67.61993599
500,16,150,10,6,105.7722082
500,16,200,10,6,135.2710233
900,16,10,10,6,19.97997522
900,16,50,10,6,64.92926383
900,16,100,10,6,147.981178
900,16,150,10,6,218.4945719
900,16,200,10,6,307.4254298
1500,16,10,10,6,27.57963896
1500,16,50,10,6,120.4607658
1500,16,100,10,6,275.6393301
1500,16,150,10,6,509.688081
1500,16,200,10,6,794.5915511
168,16,10,20,11,3.212105989
168,16,50,20,11,16.02012587
168,16,100,20,11,29.26339293
168,16,150,20,11,34.39065599
168,16,200,20,11,46.88297796
270,16,10,20,11,4.61416316
270,16,50,20,11,19.63489008
270,16,100,20,11,37.67743087
270,16,150,20,11,53.14341831
270,16,200,20,11,73.46466804
500,16,10,20,11,7.947424889
500,16,50,20,11,38.84045172
500,16,100,20,11,73.34141994
500,16,150,20,11,101.8714449
500,16,200,20,11,130.8966939
900,16,10,20,11,16.13301992
900,16,50,20,11,66.16217995
900,16,100,20,11,122.7337043
900,16,150,20,11,220.5795712
900,16,200,20,11,297.506753
1500,16,10,20,11,21.54731917
1500,16,50,20,11,117.212492
1500,16,100,20,11,266.9480641
1500,16,150,20,11,474.3278201
1500,16,200,20,11,725.007406
168,16,10,35,20,3.237104177
168,16,50,35,20,13.29408193
168,16,100,35,20,25.64175916
168,16,150,35,20,32.83832908
168,16,200,35,20,52.57326579
270,16,10,35,20,4.553726912
270,16,50,35,20,18.89995217
270,16,100,35,20,38.15925598
270,16,150,35,20,50.72582483
270,16,200,35,20,77.82270789
500,16,10,35,20,7.021190882
500,16,50,35,20,34.47333694
500,16,100,35,20,71.20393085
500,16,150,35,20,105.6616309
500,16,200,35,20,126.913605
900,16,10,35,20,13.65175033
900,16,50,35,20,66.95800972
900,16,100,35,20,134.381424
900,16,150,35,20,219.4544251
900,16,200,35,20,291.6632628
1500,16,10,35,20,20.6716001
1500,16,50,35,20,118.2761991
1500,16,100,35,20,262.3662868
1500,16,150,35,20,440.5753858
1500,16,200,35,20,661.0682328
