"I","L","Amb 1","Amb 2","Mean % T","Mean % TL","Mean % P","Mean % PL","Mean % Null"
168,100,35,20,31.1970466734117,19.9374958966484,44.4776295951365,4.01407301825017,0.266277270696289
270,100,35,20,32.3440082649878,13.9714893604303,46.0229211803221,6.69121628518868,0.896029626420009
500,100,35,20,34.4822367839395,9.91376818711673,42.5436801774204,6.83945963912069,6.22085521240261
900,100,35,20,37.0333102646928,5.77293789054467,35.068102803083,4.68712159838359,17.438527443296
1500,100,35,20,40.3792086469581,4.70714391884588,24.7562622047138,3.18887839460771,26.9685068348746
