"I","L","Amb 1","Amb 2","Mean % T","Mean % TL","Mean % P","Mean % PL","Mean % Null"
10,100,35,20,34.0885121856379,9.94944511551353,45.3834883172644,9.54511335961077,1.03344102197341
50,100,35,20,32.8505146391183,14.9014228422544,43.0564681233569,6.72216637993064,2.46942801533982
100,100,35,20,32.181813014914,15.9846037768178,42.4273303968361,6.1411224057761,3.25560659613221
150,100,35,20,32.5455646607093,15.7355321654869,42.5533233873749,6.0029241325705,3.08989036983372
200,100,35,20,32.0874611838468,15.8633453383046,43.4209467963284,5.83605743531545,2.79218924620468
