name,I size,L size,S size,model time,best obj,best bound,gap %,status,total time,int gap
Instance_500_70_,500,70,50,175.4875171,23.977,23.9825,0.02293865,2,179.4704702,0
Instance_500_70_,500,70,100,592.69664,23.0961,23.11383842,0.076802669,2,597.6803401,0
Instance_500_70_,500,70,150,1120.363335,24.46,24.46091435,0.00373816,2,1125.3108,0
Instance_500_70_,500,70,200,2824.407391,23.2504,23.25265,0.009677253,2,2832.440681,0
Instance_500_100_,500,100,10,61.02225089,23.432,23.432,2.72912E-13,2,62.57889009,0
Instance_500_100_,500,100,50,538.5003417,23.354,23.354,5.17223E-13,2,540.8458688,0
Instance_500_100_,500,100,100,1282.124003,23.8578,23.8661424,0.034967195,2,1371.384407,0
Instance_500_100_,500,100,150,4885.115699,23.0692,23.07145872,0.00979105,2,4894.901936,0
Instance_500_100_,500,100,200,11009.91606,23.3283,23.32835,0.000214332,2,11025.87869,0
Instance_900_16_,900,16,10,6.02996707,28.8795,28.8795,2.46037E-14,2,8.010411024,0
Instance_900_16_,900,16,50,34.62433934,29.4105,29.449,0.130905629,2,35.20005822,0
Instance_900_16_,900,16,100,62.27674103,29.4864,29.52386337,0.127053048,2,63.38930321,0
Instance_900_16_,900,16,150,99.82436299,28.8441,28.85239325,0.028751967,2,101.615484,0
Instance_900_16_,900,16,200,135.065484,29.1108,29.1132,0.008244363,2,137.4445641,0
Instance_900_30_,900,30,10,9.675823927,27.955,27.955,1.39796E-13,2,10.16623688,0
Instance_900_30_,900,30,50,55.61722708,28.9295,28.936,0.022468415,2,56.59590411,0
Instance_900_30_,900,30,100,129.3840392,28.8361,28.8406141,0.015654345,2,131.4386628,0
Instance_900_30_,900,30,150,298.22752,28.6674,28.66893492,0.005354237,2,301.2546837,0
Instance_900_30_,900,30,200,427.834332,30.1275,30.12745,0.000165961,2,431.594255,0
Instance_900_50_,900,50,10,21.46625209,32.5645,32.5645,2.18195E-14,2,22.27932429,0
Instance_900_50_,900,50,50,109.5185332,30.56,30.56,1.15091E-12,2,110.9123049,0
Instance_900_50_,900,50,100,357.33231,30.1125,30.11245,0.000166044,2,360.311538,0
Instance_900_50_,900,50,150,530.0103912,28.6847,28.68604444,0.004686974,2,534.2724159,0
Instance_900_50_,900,50,200,1037.310222,29.8506,29.85085,0.000837504,2,1044.92864,0
Instance_900_70_,900,70,10,27.00502586,26.677,26.71668254,0.148751882,2,28.58678794,0
Instance_900_70_,900,70,50,204.652899,28.739,28.757,0.062632659,2,215.2740879,0
Instance_900_70_,900,70,100,567.0483,29.4107,29.41206667,0.004646835,2,571.0225382,0
Instance_900_70_,900,70,150,935.082047,29.4274,29.42972095,0.007887043,2,942.6227059,0
Instance_900_70_,900,70,200,2782.443349,30.0627,30.0643,0.00532221,2,2799.715465,0
Instance_900_100_,900,100,10,51.42153096,31.697,31.70728305,0.032441724,2,54.02150512,0
Instance_900_100_,900,100,50,338.6890182,30.7875,30.8,0.040600893,2,358.028024,0
Instance_900_100_,900,100,100,1584.111296,28.8512,28.8519305,0.002531944,2,1591.292646,0
Instance_900_100_,900,100,150,5073.156723,30.2355,30.23581039,0.001026563,2,5112.237177,0
Instance_900_100_,900,100,200,8565.091118,29.0625,29.0642,0.005849462,2,8637.835226,0
Instance_1500_16_,1500,16,10,13.44194627,35.0665,35.0665,0,2,31.34819198,0
