"I","L","S","% Full accident coverage","% Partial1 accident coverage","% Partial2 accident coverage","% Partial3 accident coverage","% Null accident coverage","BLS ambulances","ALS ambulances"
168,16,10,2.64866310160428,11.4674240512263,0,85.8839128471694,0,10,6
168,16,50,0,0,0,0,100,10,6
168,16,100,0,0,0,0,100,10,6
168,16,150,0,0,0,0,100,10,6
168,16,200,0,0,0,0,100,10,6
270,16,10,2.03992869875223,15.9825649161936,0,81.9775063850542,0,10,6
270,16,50,0,0,0,0,100,10,6
270,16,100,0,0,0,0,100,10,6
270,16,150,0,0,0,0,100,10,6
270,16,200,0,0,0,0,100,10,6
500,16,10,3.01309746035912,20.8899512088153,0,76.0969513308256,0,10,6
500,16,50,0,0,0,0,100,10,6
500,16,100,0,0,0,0,100,10,6
500,16,150,0,0,0,0,100,10,6
500,16,200,0,0,0,0,100,10,6
900,16,10,1.88461962930048,18.668355213568,0,79.4470251571315,0,10,6
900,16,50,0,0,0,0,100,10,6
900,16,100,0,0,0,0,100,10,6
900,16,150,0,0,0,0,100,10,6
900,16,200,0,0,0,0,100,10,6
1500,16,10,2.91969514337663,23.0166241128433,0,74.0636807437801,0,10,6
1500,16,50,0,0,0,0,100,10,6
1500,16,100,0,0,0,0,100,10,6
1500,16,150,0,0,0,0,100,10,6
1500,16,200,0,0,0,0,100,10,6
168,16,10,3.39732620320856,10.718760949622,0.4,85.4839128471694,0,20,11
168,16,50,0,0,0,0,100,20,11
168,16,100,0,0,0,0,100,20,11
168,16,150,0,0,0,0,100,20,11
168,16,200,0,0,0,0,100,20,11
270,16,10,2.94203182675479,15.080461788191,0.37037037037037,81.6071360146838,0,20,11
270,16,50,0,0,0,0,100,20,11
270,16,100,0,0,0,0,100,20,11
270,16,150,0,0,0,0,100,20,11
270,16,200,0,0,0,0,100,20,11
500,16,10,4.55727145179478,19.3457772173797,0.27027027027027,75.8266810605553,0,20,11
500,16,50,0,0,0,0,100,20,11
500,16,100,0,0,0,0,100,20,11
500,16,150,0,0,0,0,100,20,11
500,16,200,0,0,0,0,100,20,11
900,16,10,2.54688053624224,18.0060943066262,0,79.4470251571315,0,20,11
900,16,50,0,0,0,0,100,20,11
900,16,100,0,0,0,0,100,20,11
900,16,150,0,0,0,0,100,20,11
900,16,200,0,0,0,0,100,20,11
1500,16,10,3.82612789191464,22.1101913643053,0,74.0636807437801,0,20,11
1500,16,50,0,0,0,0,100,20,11
1500,16,100,0,0,0,0,100,20,11
1500,16,150,0,0,0,0,100,20,11
1500,16,200,0,0,0,0,100,20,11
168,16,10,3.81399286987522,10.3020942829554,0.4,85.4839128471694,0,35,20
168,16,50,0,0,0,0,100,35,20
168,16,100,0,0,0,0,100,35,20
168,16,150,0,0,0,0,100,35,20
168,16,200,0,0,0,0,100,35,20
270,16,10,3.68685941296169,14.3356342019842,0.958605664488017,81.0189007205662,0,35,20
270,16,50,0,0,0,0,100,35,20
270,16,100,0,0,0,0,100,35,20
270,16,150,0,0,0,0,100,35,20
270,16,200,0,0,0,0,100,35,20
500,16,10,6.25777650229983,17.6452721668746,0.27027027027027,75.8266810605553,0,35,20
500,16,50,0,0,0,0,100,35,20
500,16,100,0,0,0,0,100,35,20
500,16,150,0,0,0,0,100,35,20
500,16,200,0,0,0,0,100,35,20
900,16,10,4.11146671519012,16.4415081276783,0.435606060606061,79.0114190965255,0,35,20
900,16,50,0,0,0,0,100,35,20
900,16,100,0,0,0,0,100,35,20
900,16,150,0,0,0,0,100,35,20
900,16,200,0,0,0,0,100,35,20
1500,16,10,5.31110464817351,20.6252146080464,0.473856209150327,73.5898245346298,0,35,20
1500,16,50,0,0,0,0,100,35,20
1500,16,100,0,0,0,0,100,35,20
1500,16,150,0,0,0,0,100,35,20
1500,16,200,0,0,0,0,100,35,20
