name,I size,L size,S size,time,best obj,best bound,gap %,status,int gap
Instance_168_16_,168,16,10,3.614178896,16.599,16.599,0,2,0
Instance_168_16_,168,16,50,16.97132993,15.214,15.214,0,2,0
Instance_168_16_,168,16,100,46.14281487,15.25915,15.25915,0,2,0
Instance_168_16_,168,16,150,83.21277499,14.88847779,14.89114444,0.017910878,2,0
Instance_168_16_,168,16,200,147.236707,15.59955,15.60055,0.006410441,2,0
Instance_168_30_,168,30,10,4.322941303,15.0495,15.0495,0,2,0
Instance_168_30_,168,30,50,81.39796114,16.1625,16.1625,0,2,0
Instance_168_30_,168,30,100,238.776279,15.88655,15.88741447,0.005441534,2,0
Instance_168_30_,168,30,150,357.1928,16.15248889,16.15248889,0,2,0
Instance_168_30_,168,30,200,595.5732391,15.90745,15.9082,0.004714772,2,0
Instance_168_50_,168,50,10,11.27084804,16.0685,16.0885,0.124467125,2,0
Instance_168_50_,168,50,50,160.3927929,15.712,15.712,0,2,0
Instance_168_50_,168,50,100,948.9728949,15.68485001,15.6866,0.011157201,2,0
Instance_168_50_,168,50,150,2403.317321,15.923,15.925,0.012560447,2,0
Instance_168_50_,168,50,200,4816.24447,15.504,15.5045,0.003224974,2,0
Instance_168_70_,168,70,10,16.62925076,16.058,16.058,0,2,0
Instance_168_70_,168,70,50,323.5529289,15.764,15.764,0,2,0
Instance_168_70_,168,70,100,1045.074395,15.008,15.01500027,0.046643621,2,0
Instance_168_70_,168,70,150,3173.875714,16.18474444,16.18563333,0.00549214,2,0
Instance_168_70_,168,70,200,10279.54377,15.4048,15.40605,0.008114354,2,0
Instance_168_100_,168,100,10,30.16731,15.418,15.418,0,2,0
Instance_168_100_,168,100,50,924.6007099,15.031,15.0375,0.043243962,2,0
Instance_168_100_,168,100,100,3702.801715,15.2784,15.2784,0,2,0
Instance_168_100_,168,100,150,11241.30752,15.56724444,15.56731852,0.000475833,2,0
Instance_168_100_,168,100,200,26129.75232,15.7646,15.7654,0.005074661,2,0
Instance_270_16_,270,16,10,2.762246847,17.4625,17.4825,0.114531138,2,0
Instance_270_16_,270,16,50,19.37785482,18.4945,18.4945,0,2,0
Instance_270_16_,270,16,100,61.037359,18.21180001,18.21180001,0,2,0
Instance_270_16_,270,16,150,82.49884701,18.2166,18.2166,0,2,0
Instance_270_16_,270,16,200,208.0195818,18.5085,18.5085,0,2,0
Instance_270_30_,270,30,10,11.44276929,18.8485,18.8685,0.106109239,2,0
Instance_270_30_,270,30,50,57.17981791,19.318,19.3225,0.023294337,2,0
Instance_270_30_,270,30,100,237.8985491,18.52315,18.52315,0,2,0
Instance_270_30_,270,30,150,366.9379814,18.77861111,18.78475688,0.032727514,2,0
Instance_270_30_,270,30,200,631.7716389,19.00145,19.00145,0,2,0
Instance_270_50_,270,50,10,11.1333549,19.9465,19.9665,0.100268217,2,0
Instance_270_50_,270,50,50,245.707809,18.5505,18.557,0.035039487,2,0
Instance_270_50_,270,50,100,554.3293118,19.18075,19.18148098,0.003811,2,0
Instance_270_50_,270,50,150,1741.620842,19.30144444,19.3032577,0.009394396,2,0
Instance_270_50_,270,50,200,6210.331314,18.44575,18.44695,0.006505564,2,0
Instance_270_70_,270,70,10,16.91291094,18.079,18.12007359,0.227189478,2,0
Instance_270_70_,270,70,50,251.595217,17.9985,18.0005,0.011112037,2,0
Instance_270_70_,270,70,100,921.6237772,19.35835,19.35835,0,2,0
Instance_270_70_,270,70,150,2122.634665,19.3437,19.34384697,0.0007598,2,0
Instance_270_70_,270,70,200,4515.410598,18.9263,18.92805,0.009246393,2,0
Instance_270_100_,270,100,10,33.3730669,20.2095,20.2355397,0.128848824,2,0
Instance_270_100_,270,100,50,1164.963612,19.669,19.669,0,2,0
Instance_270_100_,270,100,100,2289.83882,18.95425,18.95446207,0.001118847,2,0
Instance_270_100_,270,100,150,3629.413202,19.32025556,19.32165746,0.00725616,2,0
