I size,L size,S size,BLS,ALS,Runtime
168,16,10,10,6,4.303555965
168,16,50,10,6,13.63426089
168,16,100,10,6,22.14239383
168,16,150,10,6,30.75839686
168,16,200,10,6,42.4786551
270,16,10,10,6,4.02301693
270,16,50,10,6,18.1422441
270,16,100,10,6,43.13865709
270,16,150,10,6,57.36958003
270,16,200,10,6,77.33781004
500,16,10,10,6,7.85268116
500,16,50,10,6,35.78082466
500,16,100,10,6,69.37258172
500,16,150,10,6,98.60785413
500,16,200,10,6,129.2155399
900,16,10,10,6,17.10379124
900,16,50,10,6,72.09485698
900,16,100,10,6,138.4063041
900,16,150,10,6,191.6724937
900,16,200,10,6,302.3220091
1500,16,10,10,6,25.591995
1500,16,50,10,6,132.7063129
1500,16,100,10,6,271.0568051
1500,16,150,10,6,492.2217791
1500,16,200,10,6,751.2808678
168,16,10,20,11,3.525189161
168,16,50,20,11,12.755898
168,16,100,20,11,22.00792813
168,16,150,20,11,32.11416578
168,16,200,20,11,42.51573682
270,16,10,20,11,4.107204914
270,16,50,20,11,19.22693801
270,16,100,20,11,33.75412893
270,16,150,20,11,52.60019302
270,16,200,20,11,72.3111279
500,16,10,20,11,6.811845064
500,16,50,20,11,32.23159504
500,16,100,20,11,63.32310915
500,16,150,20,11,95.93372798
500,16,200,20,11,129.1613472
900,16,10,20,11,14.18266487
900,16,50,20,11,74.73903513
900,16,100,20,11,124.722101
900,16,150,20,11,191.3029423
900,16,200,20,11,289.5227652
1500,16,10,20,11,21.7247231
1500,16,50,20,11,131.9380343
1500,16,100,20,11,258.174161
1500,16,150,20,11,471.7843781
1500,16,200,20,11,703.136023
168,16,10,35,20,4.395134926
168,16,50,35,20,17.47313404
168,16,100,35,20,22.20701909
168,16,150,35,20,31.66092086
168,16,200,35,20,43.02905536
270,16,10,35,20,3.977404118
270,16,50,35,20,19.44217396
270,16,100,35,20,36.35700893
270,16,150,35,20,56.14681125
270,16,200,35,20,68.81799984
500,16,10,35,20,6.459367037
500,16,50,35,20,34.36578035
500,16,100,35,20,61.16399622
500,16,150,35,20,106.3957901
500,16,200,35,20,128.2697082
900,16,10,35,20,13.41149902
900,16,50,35,20,67.05498862
900,16,100,35,20,121.933527
900,16,150,35,20,215.9613867
900,16,200,35,20,266.2640331
1500,16,10,35,20,22.59351993
1500,16,50,35,20,126.7891121
1500,16,100,35,20,259.3400669
1500,16,150,35,20,577.3098421
1500,16,200,35,20,705.8891902
