"I","L","S","% Full accident coverage","% Partial1 accident coverage","% Partial2 accident coverage","% Partial3 accident coverage","% Null accident coverage","BLS ambulances","ALS ambulances","NA"
168,30,10,7.72525059481581,0.912698412698413,31.1109964914313,9.64308758873976,50.6079669123147,10,10,6
168,30,50,5.37536484553739,1.36784132235745,33.6128073492178,7.12217676270432,52.5218097201831,10,10,6
168,30,100,5.25210579982603,1.40535384540795,33.4014975373374,7.90505078640787,52.0359920310207,10,10,6
168,30,150,5.06009678782417,1.40860811789274,36.0757119550687,6.28253197879363,51.1730511604207,10,10,6
168,30,200,6.17550504529004,1.63586013515442,32.2124192941601,7.93768482239618,52.0385307029993,10,10,6
270,30,10,4.78954833480696,0.68287037037037,32.3955919718851,5.46192372442372,56.6700655985139,10,10,6
270,30,50,5.13651336673948,0.803410750985351,31.0703556658697,3.25650489614808,59.7332153202574,10,10,6
270,30,100,5.27020503533502,1.09946690144901,29.9992978816095,6.16702474500444,57.464005436602,10,10,6
270,30,150,5.0080610260045,0.745311649564429,30.7705842850154,5.23884894752044,58.2371940918952,10,10,6
270,30,200,4.57600167083006,0.312753794680339,30.29855079584,8.05549360388538,56.7572001347642,10,10,6
500,30,10,5.66671834180817,0,28.9553607899839,0.877719429857464,64.5002014383504,10,10,6
500,30,50,4.86739488112382,1.12588750546001,25.292683289772,4.16359101956253,64.5504433040817,10,10,6
500,30,100,4.8057496980786,0.65261174397174,24.086744438769,4.94283577250547,65.5120583466752,10,10,6
500,30,150,5.59429642416567,0.299619125485163,24.1733163733948,5.06551621517572,64.8672518617786,10,10,6
500,30,200,3.64099775049779,0.246079358118279,23.325820596441,3.76562998071254,69.0214723142304,10,10,6
900,30,10,6.02543504524788,0.263157894736842,24.3937944022011,0.995017305167681,68.3225953526465,10,10,6
900,30,50,5.2278127908543,0.638188795335402,21.5273901367558,1.88643404251073,70.7201742345438,10,10,6
900,30,100,4.63532245481601,0.509248005373814,21.5892978881519,2.49351609852233,70.7726155531359,10,10,6
900,30,150,5.31404566104683,0.210918388948022,21.3360292714462,2.76146216328587,70.3775445152731,10,10,6
900,30,200,3.54081814087227,0.120261330430496,19.8127626507916,2.45081884802496,74.0753390298806,10,10,6
1500,30,10,6.3538799748228,0,18.8448364449147,0,74.8012835802625,10,10,6
1500,30,50,6.4412624358821,0.434174462674889,17.1311626093394,1.68909867251074,74.3043018195929,10,10,6
1500,30,100,5.17677462751856,0.205738687919763,19.3410886560879,2.13864424535904,73.1377537831147,10,10,6
1500,30,150,5.21315612519055,0.150301492844174,18.7450505416695,1.80647572775979,74.085016112536,10,10,6
1500,30,200,3.07200648367481,0.209702582548152,18.6868893810929,1.56641297845626,76.4649885742279,10,10,6
168,30,10,9.29623999189217,3.91499683890988,40.7943541965281,20.048241613459,25.9461673592108,20,20,11
168,30,50,11.5286769327184,2.36317214821791,42.7995323644379,19.90923015217,23.3993884024559,20,20,11
168,30,100,10.8195579439158,3.16133312342367,43.766562159134,14.457100299735,27.7954464737915,20,20,11
168,30,150,10.1091967309551,3.50352750715885,45.4595851258038,12.3719738870757,28.5557167490066,20,20,11
168,30,200,11.3225699532409,4.42250775886789,43.4327998924943,13.3298691714733,27.4922532239236,20,20,11
270,30,10,8.88570441372165,1.15757575757576,42.2730170850861,15.5954697282283,32.0882330153882,20,20,11
270,30,50,11.6451835614182,3.01552130022372,40.4283934555582,7.191826398952,37.7190752838479,20,20,11
270,30,100,11.079798794917,2.81124404810145,40.2495728109411,11.6579719050837,34.2014124409567,20,20,11
270,30,150,11.2844824606629,2.39215655256093,39.7649599896332,9.84366736288446,36.7147336342585,20,20,11
270,30,200,9.68529823853629,2.17266572542955,39.2607182261557,16.2019167357899,32.6794010740886,20,20,11
500,30,10,11.0103373691442,1.29377104377104,40.2930753104283,6.26455594098821,41.1382603356682,20,20,11
500,30,50,9.367408506826,2.23002543552706,40.8163219175217,10.1582809552902,37.4279631848351,20,20,11
500,30,100,9.17257793303867,1.59197360244346,39.2946881873034,10.4809106719041,39.4598496053104,20,20,11
500,30,150,10.8617630940457,1.75712938486141,38.2702661401196,10.729703539186,38.3811378417873,20,20,11
500,30,200,6.24023957612445,1.03523550821435,39.4978499249939,10.8768061251282,42.3498688655392,20,20,11
900,30,10,11.2226595866653,1.26010101010101,40.4343082135835,3.52755634259394,43.5553748470562,20,20,11
900,30,50,10.7974761914036,1.13170018207661,37.7828601110875,5.77651363424993,44.5114498811823,20,20,11
900,30,100,9.44076104270203,1.51926998487756,37.4118149786924,5.49078077044989,46.1373732232781,20,20,11
900,30,150,11.5169223371656,1.36048933056523,36.7917588495534,5.60908788803177,44.7217415946841,20,20,11
900,30,200,6.01080171208372,1.45372682941675,37.3447828781481,5.56053917780165,49.6301494025497,20,20,11
1500,30,10,9.75318555039366,0,35.1452736571486,0,55.1015407924578,20,20,11
1500,30,50,11.0100939317182,1.04112450273052,32.3497114801574,3.86434835444022,51.7347217309537,20,20,11
1500,30,100,9.83658962626965,0.848829974084316,32.502923117603,4.00803797434054,52.8036193077025,20,20,11
1500,30,150,13.5949127493543,1.32701411946183,30.5843237251517,3.23076344235598,51.2629859636762,20,20,11
1500,30,200,4.88460070587966,0.547303447222865,34.6051790227587,4.20349098863481,55.7594258355039,20,20,11
168,30,10,16.2183818596862,7.66541308932613,34.4840533862273,35.0214616301573,6.61069003460308,35,35,20
168,30,50,17.1280127510397,5.94932412155377,36.4828360683895,32.1759628500707,8.26386420894627,35,35,20
168,30,100,16.0402606847477,7.7253879615308,42.0670654940208,24.505339115242,9.66194674445871,35,35,20
168,30,150,15.9270444069651,7.51981910638262,42.8304351562386,23.9423537902665,9.7803475401472,35,35,20
168,30,200,16.8676843884769,8.00472733009959,39.2666444059752,26.6305358307242,9.23040804472411,35,35,20
270,30,10,13.9197242093794,4.86774698800561,37.6256706097223,34.8231472550438,8.76371093784887,35,35,20
270,30,50,17.5486656485606,6.75414649407913,44.2801715455289,16.1685950615717,15.2484212502597,35,35,20
270,30,100,17.6665124111926,7.51073524821084,44.1483425861896,17.3760396484195,13.2983701059874,35,35,20
270,30,150,17.0672450611606,6.97814025934359,43.0590879771953,18.1744240082143,14.7211026940862,35,35,20
270,30,200,15.5263177955034,5.59276319809016,35.9741150484541,27.7393528734603,15.1674510844921,35,35,20
