name,I size,L size,S size,model time,best obj,best bound,gap %,status,total time,k1
Instance_500_30_,500,30,10,1.51960969,-299.43,-299.43,1.51871E-13,2,1.863931894,35
Instance_500_30_,500,30,50,8.388311625,-63.301,-63.301,0,2,10.16219187,35
Instance_500_30_,500,30,100,18.74883413,-30.9785,-30.9785,0,2,22.19931602,35
Instance_500_30_,500,30,150,27.40214896,-17.82266667,-17.82266667,0,2,32.56807804,35
Instance_500_30_,500,30,200,39.61362576,-14.0925,-14.0925,0,2,46.55839324,35
Instance_900_30_,900,30,10,2.178588867,-292.33,-292.33,2.33339E-13,2,2.615532875,35
Instance_900_30_,900,30,50,11.14364982,-58.41,-58.41,0,2,13.22769284,35
Instance_900_30_,900,30,100,22.29701805,-26.6375,-26.6375,0,2,26.65834379,35
Instance_900_30_,900,30,150,35.64080095,-15.76733333,-15.76733333,0,2,42.05703974,35
Instance_900_30_,900,30,200,45.49709177,-11.162,-11.162,0,2,53.85181499,35
Instance_1500_30_,1500,30,10,3.546135187,-312.16,-312.16,3.64194E-13,2,4.113348722,35
Instance_1500_30_,1500,30,50,13.59712791,-48.374,-48.374,0,2,16.05633092,35
Instance_1500_30_,1500,30,100,28.00167084,-24.4675,-24.4675,0,2,32.67276502,35
Instance_1500_30_,1500,30,150,44.77257299,-14.84766667,-14.84766667,0,2,52.1126411,35
Instance_1500_30_,1500,30,200,57.29453802,-9.5265,-9.5265,0,2,66.8914721,35
