"I","L","S","% Full accident coverage","% Partial1 accident coverage","% Partial2 accident coverage","% Partial3 accident coverage","% Null accident coverage","NA"
168,30,10,9.29623999189217,3.91499683890988,40.7943541965281,20.048241613459,25.9461673592108,20
168,30,50,11.5286769327184,2.36317214821791,42.7995323644379,19.90923015217,23.3993884024559,20
168,30,100,10.8195579439158,3.16133312342367,43.766562159134,14.457100299735,27.7954464737915,20
168,30,150,10.1091967309551,3.50352750715885,45.4595851258038,12.3719738870757,28.5557167490066,20
168,30,200,11.3225699532409,4.42250775886789,43.4327998924943,13.3298691714733,27.4922532239236,20
270,30,10,8.88570441372165,1.15757575757576,42.2730170850861,15.5954697282283,32.0882330153882,20
270,30,50,11.6451835614182,3.01552130022372,40.4283934555582,7.191826398952,37.7190752838479,20
270,30,100,11.079798794917,2.81124404810145,40.2495728109411,11.6579719050837,34.2014124409567,20
270,30,150,11.2844824606629,2.39215655256093,39.7649599896332,9.84366736288446,36.7147336342585,20
270,30,200,9.68529823853629,2.17266572542955,39.2607182261557,16.2019167357899,32.6794010740886,20
500,30,10,11.0103373691442,1.29377104377104,40.2930753104283,6.26455594098821,41.1382603356682,20
500,30,50,9.367408506826,2.23002543552706,40.8163219175217,10.1582809552902,37.4279631848351,20
500,30,100,9.17257793303867,1.59197360244346,39.2946881873034,10.4809106719041,39.4598496053104,20
500,30,150,10.8617630940457,1.75712938486141,38.2702661401196,10.729703539186,38.3811378417873,20
500,30,200,6.24023957612445,1.03523550821435,39.4978499249939,10.8768061251282,42.3498688655392,20
900,30,10,11.2226595866653,1.26010101010101,40.4343082135835,3.52755634259394,43.5553748470562,20
900,30,50,10.7974761914036,1.13170018207661,37.7828601110875,5.77651363424993,44.5114498811823,20
900,30,100,9.44076104270203,1.51926998487756,37.4118149786924,5.49078077044989,46.1373732232781,20
900,30,150,11.5169223371656,1.36048933056523,36.7917588495534,5.60908788803177,44.7217415946841,20
900,30,200,6.01080171208372,1.45372682941675,37.3447828781481,5.56053917780165,49.6301494025497,20
1500,30,10,9.75318555039366,0,35.1452736571486,0,55.1015407924578,20
1500,30,50,11.0100939317182,1.04112450273052,32.3497114801574,3.86434835444022,51.7347217309537,20
1500,30,100,9.83658962626965,0.848829974084316,32.502923117603,4.00803797434054,52.8036193077025,20
1500,30,150,13.5949127493543,1.32701411946183,30.5843237251517,3.23076344235598,51.2629859636762,20
1500,30,200,4.88460070587966,0.547303447222865,34.6051790227587,4.20349098863481,55.7594258355039,20
