name,I size,L size,S size,model time,best obj,best bound,gap %,status,total time,k1
Instance_270_30_,270,30,200,62.32981515,-18.481,-18.469,0.064931551,2,84.41813087,35
Instance_500_30_,500,30,10,2.501984119,-418.07,-418.07,1.08773E-13,2,2.844251156,35
Instance_500_30_,500,30,50,15.39483213,-86.476,-86.476,0,2,17.39828396,35
Instance_500_30_,500,30,100,35.16315174,-40.7755,-40.7755,0,2,38.73875809,35
Instance_500_30_,500,30,150,53.20132995,-22.16433333,-22.16433333,0,2,58.82261491,35
Instance_500_30_,500,30,200,71.88854885,-16.984,-16.984,0,2,78.90099311,35
Instance_900_30_,900,30,10,3.309117794,-403.365,-403.365,1.97292E-13,2,3.734330893,35
Instance_900_30_,900,30,50,18.14063907,-77.606,-77.606,0,2,20.23331094,35
Instance_900_30_,900,30,100,41.53965187,-33.3635,-33.3635,0,2,46.03312516,35
Instance_900_30_,900,30,150,70.58467412,-18.30866667,-18.30866667,0,2,77.42824507,35
Instance_900_30_,900,30,200,85.17174602,-11.95,-11.95,0,2,93.73374295,35
Instance_1500_30_,1500,30,10,4.229235888,-417.47,-417.47,2.72323E-13,2,4.802943945,35
Instance_1500_30_,1500,30,50,21.01064801,-61.058,-61.058,0,2,23.78065991,35
Instance_1500_30_,1500,30,100,55.92825198,-29.482,-29.482,0,2,61.48029017,35
Instance_1500_30_,1500,30,150,70.2437439,-16.227,-16.227,0,2,77.86323118,35
Instance_1500_30_,1500,30,200,97.47576189,-8.9295,-8.9295,0,2,107.3715179,35
