mejoró 3.474  GRASP
mejoró 3.474 en initial L 7 con j = 14 localsearch 1   LS2 
no mejoró 3.62625 en initial L 27 con j = 49 localsearch 3
no mejoró 3.62625 en initial L 27 con j = 51 localsearch 3
no mejoró 3.62625 en initial L 27 con j = 53 localsearch 3
no mejoró 3.62625 en initial L 27 con j = 56 localsearch 3
no mejoró 3.62625 en initial L 27 con j = 60 localsearch 3
no mejoró 3.62625 en initial L 27 con j = 64 localsearch 3
no mejoró 3.62625 en initial L 27 con j = 67 localsearch 3
no mejoró 3.62625 en initial L 27 con j = 69 localsearch 3
no mejoró 3.62625 en initial L 27 con j = 71 localsearch 3
no mejoró 3.62625 en initial L 27 con j = 72 localsearch 3
no mejoró 3.62625 en initial L 27 con j = 75 localsearch 3
no mejoró 3.62625 en initial L 27 con j = 78 localsearch 3
no mejoró 3.62625 en initial L 27 con j = 92 localsearch 3
no mejoró 3.62625 en initial L 27 con j = 93 localsearch 3
no mejoró 3.62625 en initial L 27 con j = 97 localsearch 3
no mejoró 3.62625 en initial L 27 con j = 98 localsearch 3
no mejoró 3.62625 en initial L 35 con j = 14 localsearch 3
no mejoró 3.62625 en initial L 35 con j = 17 localsearch 3
no mejoró 3.62625 en initial L 35 con j = 19 localsearch 3
no mejoró 3.62625 en initial L 35 con j = 26 localsearch 3
no mejoró 3.62625 en initial L 35 con j = 27 localsearch 3
no mejoró 3.62625 en initial L 35 con j = 37 localsearch 3
no mejoró 3.62625 en initial L 35 con j = 43 localsearch 3
no mejoró 3.62625 en initial L 35 con j = 49 localsearch 3
no mejoró 3.62625 en initial L 35 con j = 51 localsearch 3
no mejoró 3.62625 en initial L 35 con j = 53 localsearch 3
no mejoró 3.62625 en initial L 35 con j = 56 localsearch 3
no mejoró 3.62625 en initial L 35 con j = 60 localsearch 3
no mejoró 3.62625 en initial L 35 con j = 64 localsearch 3
no mejoró 3.62625 en initial L 35 con j = 67 localsearch 3
no mejoró 3.62625 en initial L 35 con j = 69 localsearch 3
no mejoró 3.62625 en initial L 35 con j = 71 localsearch 3
no mejoró 3.62625 en initial L 35 con j = 72 localsearch 3
no mejoró 3.62625 en initial L 35 con j = 75 localsearch 3
no mejoró 3.62625 en initial L 35 con j = 78 localsearch 3
no mejoró 3.62625 en initial L 35 con j = 92 localsearch 3
no mejoró 3.62625 en initial L 35 con j = 93 localsearch 3
no mejoró 3.62625 en initial L 35 con j = 97 localsearch 3
no mejoró 3.62625 en initial L 35 con j = 98 localsearch 3
no mejoró 3.62625 en initial L 37 con j = 14 localsearch 3
no mejoró 3.62625 en initial L 37 con j = 17 localsearch 3
no mejoró 3.62625 en initial L 37 con j = 19 localsearch 3
no mejoró 3.62625 en initial L 37 con j = 26 localsearch 3
no mejoró 3.62625 en initial L 37 con j = 27 localsearch 3
no mejoró 3.62625 en initial L 37 con j = 35 localsearch 3
no mejoró 3.62625 en initial L 37 con j = 43 localsearch 3
no mejoró 3.62625 en initial L 37 con j = 49 localsearch 3
no mejoró 3.62625 en initial L 37 con j = 51 localsearch 3
no mejoró 3.62625 en initial L 37 con j = 53 localsearch 3
no mejoró 3.62625 en initial L 37 con j = 56 localsearch 3
no mejoró 3.62625 en initial L 37 con j = 60 localsearch 3
no mejoró 3.62625 en initial L 37 con j = 64 localsearch 3
no mejoró 3.62625 en initial L 37 con j = 67 localsearch 3
no mejoró 3.62625 en initial L 37 con j = 69 localsearch 3
no mejoró 3.62625 en initial L 37 con j = 71 localsearch 3
no mejoró 3.62625 en initial L 37 con j = 72 localsearch 3
no mejoró 3.62625 en initial L 37 con j = 75 localsearch 3
no mejoró 3.62625 en initial L 37 con j = 78 localsearch 3
no mejoró 3.62625 en initial L 37 con j = 92 localsearch 3
no mejoró 3.62625 en initial L 37 con j = 93 localsearch 3
no mejoró 3.62625 en initial L 37 con j = 97 localsearch 3
no mejoró 3.62625 en initial L 37 con j = 98 localsearch 3
no mejoró 3.62625 en initial L 43 con j = 14 localsearch 3
no mejoró 3.62625 en initial L 43 con j = 17 localsearch 3
no mejoró 3.62625 en initial L 43 con j = 19 localsearch 3
no mejoró 3.62625 en initial L 43 con j = 26 localsearch 3
no mejoró 3.62625 en initial L 43 con j = 27 localsearch 3
no mejoró 3.62625 en initial L 43 con j = 35 localsearch 3
no mejoró 3.62625 en initial L 43 con j = 37 localsearch 3
no mejoró 3.62625 en initial L 43 con j = 49 localsearch 3
no mejoró 3.62625 en initial L 43 con j = 51 localsearch 3
no mejoró 3.62625 en initial L 43 con j = 53 localsearch 3
no mejoró 3.62625 en initial L 43 con j = 56 localsearch 3
no mejoró 3.62625 en initial L 43 con j = 60 localsearch 3
no mejoró 3.62625 en initial L 43 con j = 64 localsearch 3
no mejoró 3.62625 en initial L 43 con j = 67 localsearch 3
no mejoró 3.62625 en initial L 43 con j = 69 localsearch 3
no mejoró 3.62625 en initial L 43 con j = 71 localsearch 3
no mejoró 3.62625 en initial L 43 con j = 72 localsearch 3
no mejoró 3.62625 en initial L 43 con j = 75 localsearch 3
no mejoró 3.62625 en initial L 43 con j = 78 localsearch 3
no mejoró 3.62625 en initial L 43 con j = 92 localsearch 3
no mejoró 3.62625 en initial L 43 con j = 93 localsearch 3
no mejoró 3.62625 en initial L 43 con j = 97 localsearch 3
no mejoró 3.62625 en initial L 43 con j = 98 localsearch 3
no mejoró 3.62625 en initial L 49 con j = 14 localsearch 3
no mejoró 3.62625 en initial L 49 con j = 17 localsearch 3
no mejoró 3.62625 en initial L 49 con j = 19 localsearch 3
no mejoró 3.62625 en initial L 49 con j = 26 localsearch 3
no mejoró 3.62625 en initial L 49 con j = 27 localsearch 3
no mejoró 3.62625 en initial L 49 con j = 35 localsearch 3
no mejoró 3.62625 en initial L 49 con j = 37 localsearch 3
no mejoró 3.62625 en initial L 49 con j = 43 localsearch 3
no mejoró 3.62625 en initial L 49 con j = 51 localsearch 3
no mejoró 3.62625 en initial L 49 con j = 53 localsearch 3
no mejoró 3.62625 en initial L 49 con j = 56 localsearch 3
no mejoró 3.62625 en initial L 49 con j = 60 localsearch 3
no mejoró 3.62625 en initial L 49 con j = 64 localsearch 3
no mejoró 3.62625 en initial L 49 con j = 67 localsearch 3
no mejoró 3.62625 en initial L 49 con j = 69 localsearch 3
no mejoró 3.62625 en initial L 49 con j = 71 localsearch 3
no mejoró 3.62625 en initial L 49 con j = 72 localsearch 3
no mejoró 3.62625 en initial L 49 con j = 75 localsearch 3
no mejoró 3.62625 en initial L 49 con j = 78 localsearch 3
no mejoró 3.62625 en initial L 49 con j = 92 localsearch 3
no mejoró 3.62625 en initial L 49 con j = 93 localsearch 3
no mejoró 3.62625 en initial L 49 con j = 97 localsearch 3
no mejoró 3.62625 en initial L 49 con j = 98 localsearch 3
no mejoró 3.62625 en initial L 51 con j = 14 localsearch 3
no mejoró 3.62625 en initial L 51 con j = 17 localsearch 3
no mejoró 3.62625 en initial L 51 con j = 19 localsearch 3
no mejoró 3.62625 en initial L 51 con j = 26 localsearch 3
no mejoró 3.62625 en initial L 51 con j = 27 localsearch 3
no mejoró 3.62625 en initial L 51 con j = 35 localsearch 3
no mejoró 3.62625 en initial L 51 con j = 37 localsearch 3
no mejoró 3.62625 en initial L 51 con j = 43 localsearch 3
no mejoró 3.62625 en initial L 51 con j = 49 localsearch 3
no mejoró 3.62625 en initial L 51 con j = 53 localsearch 3
no mejoró 3.62625 en initial L 51 con j = 56 localsearch 3
no mejoró 3.62625 en initial L 51 con j = 60 localsearch 3
no mejoró 3.62625 en initial L 51 con j = 64 localsearch 3
no mejoró 3.62625 en initial L 51 con j = 67 localsearch 3
no mejoró 3.62625 en initial L 51 con j = 69 localsearch 3
no mejoró 3.62625 en initial L 51 con j = 71 localsearch 3
no mejoró 3.62625 en initial L 51 con j = 72 localsearch 3
no mejoró 3.62625 en initial L 51 con j = 75 localsearch 3
no mejoró 3.62625 en initial L 51 con j = 78 localsearch 3
no mejoró 3.62625 en initial L 51 con j = 92 localsearch 3
no mejoró 3.62625 en initial L 51 con j = 93 localsearch 3
no mejoró 3.62625 en initial L 51 con j = 97 localsearch 3
no mejoró 3.62625 en initial L 51 con j = 98 localsearch 3
no mejoró 3.62625 en initial L 53 con j = 14 localsearch 3
no mejoró 3.62625 en initial L 53 con j = 17 localsearch 3
no mejoró 3.62625 en initial L 53 con j = 19 localsearch 3
no mejoró 3.62625 en initial L 53 con j = 26 localsearch 3
no mejoró 3.62625 en initial L 53 con j = 27 localsearch 3
no mejoró 3.62625 en initial L 53 con j = 35 localsearch 3
no mejoró 3.62625 en initial L 53 con j = 37 localsearch 3
no mejoró 3.62625 en initial L 53 con j = 43 localsearch 3
no mejoró 3.62625 en initial L 53 con j = 49 localsearch 3
no mejoró 3.62625 en initial L 53 con j = 51 localsearch 3
no mejoró 3.62625 en initial L 53 con j = 56 localsearch 3
no mejoró 3.62625 en initial L 53 con j = 60 localsearch 3
no mejoró 3.62625 en initial L 53 con j = 64 localsearch 3
no mejoró 3.62625 en initial L 53 con j = 67 localsearch 3
no mejoró 3.62625 en initial L 53 con j = 69 localsearch 3
no mejoró 3.62625 en initial L 53 con j = 71 localsearch 3
no mejoró 3.62625 en initial L 53 con j = 72 localsearch 3
no mejoró 3.62625 en initial L 53 con j = 75 localsearch 3
no mejoró 3.62625 en initial L 53 con j = 78 localsearch 3
no mejoró 3.62625 en initial L 53 con j = 92 localsearch 3
no mejoró 3.62625 en initial L 53 con j = 93 localsearch 3
no mejoró 3.62625 en initial L 53 con j = 97 localsearch 3
no mejoró 3.62625 en initial L 53 con j = 98 localsearch 3
no mejoró 3.342 en initial L 56 con j = 14 localsearch 3
no mejoró 3.342 en initial L 56 con j = 17 localsearch 3
no mejoró 3.342 en initial L 56 con j = 19 localsearch 3
no mejoró 3.342 en initial L 56 con j = 26 localsearch 3
no mejoró 3.342 en initial L 56 con j = 27 localsearch 3
no mejoró 3.342 en initial L 56 con j = 35 localsearch 3
no mejoró 3.342 en initial L 56 con j = 37 localsearch 3
no mejoró 3.342 en initial L 56 con j = 43 localsearch 3
no mejoró 3.342 en initial L 56 con j = 49 localsearch 3
no mejoró 3.342 en initial L 56 con j = 51 localsearch 3
no mejoró 3.342 en initial L 56 con j = 53 localsearch 3
no mejoró 3.342 en initial L 56 con j = 60 localsearch 3
no mejoró 3.342 en initial L 56 con j = 64 localsearch 3
no mejoró 3.342 en initial L 56 con j = 67 localsearch 3
no mejoró 3.342 en initial L 56 con j = 69 localsearch 3
no mejoró 3.342 en initial L 56 con j = 71 localsearch 3
no mejoró 3.342 en initial L 56 con j = 72 localsearch 3
no mejoró 3.342 en initial L 56 con j = 75 localsearch 3
no mejoró 3.342 en initial L 56 con j = 78 localsearch 3
no mejoró 3.342 en initial L 56 con j = 92 localsearch 3
no mejoró 3.342 en initial L 56 con j = 93 localsearch 3
no mejoró 3.342 en initial L 56 con j = 97 localsearch 3
no mejoró 3.342 en initial L 56 con j = 98 localsearch 3
no mejoró 3.4085 en initial L 60 con j = 14 localsearch 3
no mejoró 3.4085 en initial L 60 con j = 17 localsearch 3
no mejoró 3.4085 en initial L 60 con j = 19 localsearch 3
no mejoró 3.4085 en initial L 60 con j = 26 localsearch 3
no mejoró 3.4085 en initial L 60 con j = 27 localsearch 3
no mejoró 3.4085 en initial L 60 con j = 35 localsearch 3
no mejoró 3.4085 en initial L 60 con j = 37 localsearch 3
no mejoró 3.4085 en initial L 60 con j = 43 localsearch 3
no mejoró 3.4085 en initial L 60 con j = 49 localsearch 3
no mejoró 3.4085 en initial L 60 con j = 51 localsearch 3
no mejoró 3.4085 en initial L 60 con j = 53 localsearch 3
no mejoró 3.4085 en initial L 60 con j = 56 localsearch 3
no mejoró 3.4085 en initial L 60 con j = 64 localsearch 3
no mejoró 3.4085 en initial L 60 con j = 67 localsearch 3
no mejoró 3.4085 en initial L 60 con j = 69 localsearch 3
no mejoró 3.4085 en initial L 60 con j = 71 localsearch 3
no mejoró 3.4085 en initial L 60 con j = 72 localsearch 3
no mejoró 3.4085 en initial L 60 con j = 75 localsearch 3
no mejoró 3.4085 en initial L 60 con j = 78 localsearch 3
no mejoró 3.4085 en initial L 60 con j = 92 localsearch 3
no mejoró 3.4085 en initial L 60 con j = 93 localsearch 3
no mejoró 3.4085 en initial L 60 con j = 97 localsearch 3
no mejoró 3.4085 en initial L 60 con j = 98 localsearch 3
no mejoró 3.62625 en initial L 64 con j = 14 localsearch 3
no mejoró 3.62625 en initial L 64 con j = 17 localsearch 3
no mejoró 3.62625 en initial L 64 con j = 19 localsearch 3
no mejoró 3.62625 en initial L 64 con j = 26 localsearch 3
no mejoró 3.62625 en initial L 64 con j = 27 localsearch 3
no mejoró 3.62625 en initial L 64 con j = 35 localsearch 3
no mejoró 3.62625 en initial L 64 con j = 37 localsearch 3
no mejoró 3.62625 en initial L 64 con j = 43 localsearch 3
no mejoró 3.62625 en initial L 64 con j = 49 localsearch 3
no mejoró 3.62625 en initial L 64 con j = 51 localsearch 3
no mejoró 3.62625 en initial L 64 con j = 53 localsearch 3
no mejoró 3.62625 en initial L 64 con j = 56 localsearch 3
no mejoró 3.62625 en initial L 64 con j = 60 localsearch 3
no mejoró 3.62625 en initial L 64 con j = 67 localsearch 3
no mejoró 3.62625 en initial L 64 con j = 69 localsearch 3
no mejoró 3.62625 en initial L 64 con j = 71 localsearch 3
no mejoró 3.62625 en initial L 64 con j = 72 localsearch 3
no mejoró 3.62625 en initial L 64 con j = 75 localsearch 3
no mejoró 3.62625 en initial L 64 con j = 78 localsearch 3
no mejoró 3.62625 en initial L 64 con j = 92 localsearch 3
no mejoró 3.62625 en initial L 64 con j = 93 localsearch 3
no mejoró 3.62625 en initial L 64 con j = 97 localsearch 3
no mejoró 3.62625 en initial L 64 con j = 98 localsearch 3
no mejoró 3.62625 en initial L 67 con j = 14 localsearch 3
no mejoró 3.62625 en initial L 67 con j = 17 localsearch 3
no mejoró 3.62625 en initial L 67 con j = 19 localsearch 3
no mejoró 3.62625 en initial L 67 con j = 26 localsearch 3
no mejoró 3.62625 en initial L 67 con j = 27 localsearch 3
no mejoró 3.62625 en initial L 67 con j = 35 localsearch 3
no mejoró 3.62625 en initial L 67 con j = 37 localsearch 3
no mejoró 3.62625 en initial L 67 con j = 43 localsearch 3
no mejoró 3.62625 en initial L 67 con j = 49 localsearch 3
no mejoró 3.62625 en initial L 67 con j = 51 localsearch 3
no mejoró 3.62625 en initial L 67 con j = 53 localsearch 3
no mejoró 3.62625 en initial L 67 con j = 56 localsearch 3
no mejoró 3.62625 en initial L 67 con j = 60 localsearch 3
no mejoró 3.62625 en initial L 67 con j = 64 localsearch 3
no mejoró 3.62625 en initial L 67 con j = 69 localsearch 3
no mejoró 3.62625 en initial L 67 con j = 71 localsearch 3
no mejoró 3.62625 en initial L 67 con j = 72 localsearch 3
no mejoró 3.62625 en initial L 67 con j = 75 localsearch 3
no mejoró 3.62625 en initial L 67 con j = 78 localsearch 3
no mejoró 3.62625 en initial L 67 con j = 92 localsearch 3
no mejoró 3.62625 en initial L 67 con j = 93 localsearch 3
no mejoró 3.62625 en initial L 67 con j = 97 localsearch 3
no mejoró 3.62625 en initial L 67 con j = 98 localsearch 3
no mejoró 3.62625 en initial L 69 con j = 14 localsearch 3
no mejoró 3.62625 en initial L 69 con j = 17 localsearch 3
no mejoró 3.62625 en initial L 69 con j = 19 localsearch 3
no mejoró 3.62625 en initial L 69 con j = 26 localsearch 3
no mejoró 3.62625 en initial L 69 con j = 27 localsearch 3
no mejoró 3.62625 en initial L 69 con j = 35 localsearch 3
no mejoró 3.62625 en initial L 69 con j = 37 localsearch 3
no mejoró 3.62625 en initial L 69 con j = 43 localsearch 3
no mejoró 3.62625 en initial L 69 con j = 49 localsearch 3
no mejoró 3.62625 en initial L 69 con j = 51 localsearch 3
no mejoró 3.62625 en initial L 69 con j = 53 localsearch 3
no mejoró 3.62625 en initial L 69 con j = 56 localsearch 3
no mejoró 3.62625 en initial L 69 con j = 60 localsearch 3
no mejoró 3.62625 en initial L 69 con j = 64 localsearch 3
no mejoró 3.62625 en initial L 69 con j = 67 localsearch 3
no mejoró 3.62625 en initial L 69 con j = 71 localsearch 3
no mejoró 3.62625 en initial L 69 con j = 72 localsearch 3
no mejoró 3.62625 en initial L 69 con j = 75 localsearch 3
no mejoró 3.62625 en initial L 69 con j = 78 localsearch 3
no mejoró 3.62625 en initial L 69 con j = 92 localsearch 3
no mejoró 3.62625 en initial L 69 con j = 93 localsearch 3
no mejoró 3.62625 en initial L 69 con j = 97 localsearch 3
no mejoró 3.62625 en initial L 69 con j = 98 localsearch 3
no mejoró 3.62625 en initial L 71 con j = 14 localsearch 3
no mejoró 3.62625 en initial L 71 con j = 17 localsearch 3
no mejoró 3.62625 en initial L 71 con j = 19 localsearch 3
no mejoró 3.62625 en initial L 71 con j = 26 localsearch 3
no mejoró 3.62625 en initial L 71 con j = 27 localsearch 3
no mejoró 3.62625 en initial L 71 con j = 35 localsearch 3
no mejoró 3.62625 en initial L 71 con j = 37 localsearch 3
no mejoró 3.62625 en initial L 71 con j = 43 localsearch 3
no mejoró 3.62625 en initial L 71 con j = 49 localsearch 3
no mejoró 3.62625 en initial L 71 con j = 51 localsearch 3
no mejoró 3.62625 en initial L 71 con j = 53 localsearch 3
no mejoró 3.62625 en initial L 71 con j = 56 localsearch 3
no mejoró 3.62625 en initial L 71 con j = 60 localsearch 3
no mejoró 3.62625 en initial L 71 con j = 64 localsearch 3
no mejoró 3.62625 en initial L 71 con j = 67 localsearch 3
no mejoró 3.62625 en initial L 71 con j = 69 localsearch 3
no mejoró 3.62625 en initial L 71 con j = 72 localsearch 3
no mejoró 3.62625 en initial L 71 con j = 75 localsearch 3
no mejoró 3.62625 en initial L 71 con j = 78 localsearch 3
no mejoró 3.62625 en initial L 71 con j = 92 localsearch 3
no mejoró 3.62625 en initial L 71 con j = 93 localsearch 3
no mejoró 3.62625 en initial L 71 con j = 97 localsearch 3
no mejoró 3.62625 en initial L 71 con j = 98 localsearch 3
no mejoró 3.62625 en initial L 72 con j = 14 localsearch 3
no mejoró 3.62625 en initial L 72 con j = 17 localsearch 3
no mejoró 3.59625 en initial L 72 con j = 19 localsearch 3
no mejoró 3.62625 en initial L 72 con j = 26 localsearch 3
no mejoró 3.62625 en initial L 72 con j = 27 localsearch 3
no mejoró 3.62625 en initial L 72 con j = 35 localsearch 3
no mejoró 3.62625 en initial L 72 con j = 37 localsearch 3
no mejoró 3.62625 en initial L 72 con j = 43 localsearch 3
no mejoró 3.62625 en initial L 72 con j = 49 localsearch 3
no mejoró 3.62625 en initial L 72 con j = 51 localsearch 3
no mejoró 3.62625 en initial L 72 con j = 53 localsearch 3
no mejoró 3.62625 en initial L 72 con j = 56 localsearch 3
no mejoró 3.62625 en initial L 72 con j = 60 localsearch 3
no mejoró 3.62625 en initial L 72 con j = 64 localsearch 3
no mejoró 3.62625 en initial L 72 con j = 67 localsearch 3
no mejoró 3.62625 en initial L 72 con j = 69 localsearch 3
no mejoró 3.62625 en initial L 72 con j = 71 localsearch 3
no mejoró 3.62625 en initial L 72 con j = 75 localsearch 3
no mejoró 3.62625 en initial L 72 con j = 78 localsearch 3
no mejoró 3.59625 en initial L 72 con j = 92 localsearch 3
no mejoró 3.62625 en initial L 72 con j = 93 localsearch 3
no mejoró 3.62625 en initial L 72 con j = 97 localsearch 3
no mejoró 3.62625 en initial L 72 con j = 98 localsearch 3
no mejoró 3.62625 en initial L 75 con j = 14 localsearch 3
no mejoró 3.62625 en initial L 75 con j = 17 localsearch 3
no mejoró 3.62625 en initial L 75 con j = 19 localsearch 3
no mejoró 3.62625 en initial L 75 con j = 26 localsearch 3
no mejoró 3.62625 en initial L 75 con j = 27 localsearch 3
no mejoró 3.62625 en initial L 75 con j = 35 localsearch 3
no mejoró 3.62625 en initial L 75 con j = 37 localsearch 3
no mejoró 3.62625 en initial L 75 con j = 43 localsearch 3
no mejoró 3.62625 en initial L 75 con j = 49 localsearch 3
no mejoró 3.62625 en initial L 75 con j = 51 localsearch 3
no mejoró 3.62625 en initial L 75 con j = 53 localsearch 3
no mejoró 3.62625 en initial L 75 con j = 56 localsearch 3
no mejoró 3.62625 en initial L 75 con j = 60 localsearch 3
no mejoró 3.62625 en initial L 75 con j = 64 localsearch 3
no mejoró 3.62625 en initial L 75 con j = 67 localsearch 3
no mejoró 3.62625 en initial L 75 con j = 69 localsearch 3
no mejoró 3.62625 en initial L 75 con j = 71 localsearch 3
no mejoró 3.62625 en initial L 75 con j = 72 localsearch 3
no mejoró 3.62625 en initial L 75 con j = 78 localsearch 3
no mejoró 3.62625 en initial L 75 con j = 92 localsearch 3
no mejoró 3.62625 en initial L 75 con j = 93 localsearch 3
no mejoró 3.62625 en initial L 75 con j = 97 localsearch 3
no mejoró 3.62625 en initial L 75 con j = 98 localsearch 3
no mejoró 3.62625 en initial L 78 con j = 14 localsearch 3
no mejoró 3.62625 en initial L 78 con j = 17 localsearch 3
no mejoró 3.62625 en initial L 78 con j = 19 localsearch 3
no mejoró 3.62625 en initial L 78 con j = 26 localsearch 3
no mejoró 3.62625 en initial L 78 con j = 27 localsearch 3
no mejoró 3.62625 en initial L 78 con j = 35 localsearch 3
no mejoró 3.62625 en initial L 78 con j = 37 localsearch 3
no mejoró 3.62625 en initial L 78 con j = 43 localsearch 3
no mejoró 3.62625 en initial L 78 con j = 49 localsearch 3
