mejoró 1.6305  GRASP
no mejoró 1.733 en initial L 14 con j = 41 localsearch 5LS1
no mejoró 1.733 en initial L 14 con j = 42 localsearch 5LS2
no mejoró 1.7945 en initial L 14 con j = 42 localsearch 5LS3
no mejoró 1.7535 en initial L 14 con j = 43 localsearch 5LS1
no mejoró 1.733 en initial L 14 con j = 44 localsearch 5LS2
no mejoró 1.7945 en initial L 14 con j = 44 localsearch 5LS3
no mejoró 1.774 en initial L 14 con j = 45 localsearch 5LS1
no mejoró 1.733 en initial L 14 con j = 46 localsearch 5LS1
mejoró 1.8355 en initial L 14 con j = 47 localsearch 5  LS1
no mejoró 1.815 en initial L 26 con j = 0 localsearch 6LS2
no mejoró 1.8355 en initial L 26 con j = 0 localsearch 6LS3
no mejoró 1.815 en initial L 26 con j = 1 localsearch 6LS1
no mejoró 1.815 en initial L 26 con j = 2 localsearch 6LS1
mejoró 1.856 en initial L 26 con j = 3 localsearch 6  LS1
no mejoró 1.815 en initial L 3 con j = 0 localsearch 7LS2
no mejoró 1.856 en initial L 3 con j = 0 localsearch 7LS3
no mejoró 1.815 en initial L 3 con j = 1 localsearch 7LS1
no mejoró 1.815 en initial L 3 con j = 2 localsearch 7LS1
no mejoró 1.815 en initial L 3 con j = 4 localsearch 7LS1
no mejoró 1.815 en initial L 3 con j = 5 localsearch 7LS1
no mejoró 1.856 en initial L 3 con j = 6 localsearch 7LS1
no mejoró 1.8355 en initial L 3 con j = 7 localsearch 7LS1
no mejoró 1.815 en initial L 3 con j = 8 localsearch 7LS1
no mejoró 1.815 en initial L 3 con j = 9 localsearch 7LS1
no mejoró 1.815 en initial L 3 con j = 10 localsearch 7LS1
no mejoró 1.815 en initial L 3 con j = 11 localsearch 7LS1
mejoró 1.856 en initial L 3 con j = 12 localsearch 7  LS1
no mejoró 1.651 en initial L 42 con j = 0 localsearch 8LS2
no mejoró 1.815 en initial L 42 con j = 0 localsearch 8LS3
no mejoró 1.6715 en initial L 42 con j = 1 localsearch 8LS1
no mejoró 1.6715 en initial L 42 con j = 2 localsearch 8LS1
no mejoró 1.692 en initial L 42 con j = 3 localsearch 8LS1
no mejoró 1.651 en initial L 42 con j = 4 localsearch 8LS1
no mejoró 1.6715 en initial L 42 con j = 5 localsearch 8LS1
no mejoró 1.733 en initial L 42 con j = 6 localsearch 8LS1
no mejoró 1.6715 en initial L 42 con j = 7 localsearch 8LS1
no mejoró 1.6715 en initial L 42 con j = 8 localsearch 8LS1
no mejoró 1.651 en initial L 42 con j = 9 localsearch 8LS1
no mejoró 1.651 en initial L 42 con j = 10 localsearch 8LS1
no mejoró 1.692 en initial L 42 con j = 11 localsearch 8LS1
no mejoró 1.651 en initial L 42 con j = 12 localsearch 8LS2
no mejoró 1.815 en initial L 42 con j = 12 localsearch 8LS3
no mejoró 1.651 en initial L 42 con j = 13 localsearch 8LS1
no mejoró 1.7655 en initial L 42 con j = 14 localsearch 8LS1
no mejoró 1.692 en initial L 42 con j = 15 localsearch 8LS1
no mejoró 1.745 en initial L 42 con j = 16 localsearch 8LS1
no mejoró 1.651 en initial L 42 con j = 17 localsearch 8LS1
no mejoró 1.733 en initial L 42 con j = 18 localsearch 8LS1
no mejoró 1.651 en initial L 42 con j = 19 localsearch 8LS1
no mejoró 1.651 en initial L 42 con j = 20 localsearch 8LS1
no mejoró 1.651 en initial L 42 con j = 21 localsearch 8LS1
no mejoró 1.692 en initial L 42 con j = 22 localsearch 8LS1
no mejoró 1.692 en initial L 42 con j = 23 localsearch 8LS1
no mejoró 1.651 en initial L 42 con j = 24 localsearch 8LS1
no mejoró 1.651 en initial L 42 con j = 25 localsearch 8LS1
no mejoró 1.6715 en initial L 42 con j = 26 localsearch 8LS1
no mejoró 1.651 en initial L 42 con j = 27 localsearch 8LS1
no mejoró 1.7245 en initial L 42 con j = 28 localsearch 8LS1
