 Fecha, Hora, Nombre_de_la_Vialidad, Georreferencia,Numero,Demanda,Punto,Proporción
31/01/2022,08:15:00,18 de marzo,"25.7005439, -100.3374424",1,1,18 de marzo,0.001109878
01/01/2022,09:38:00,2 de abril,"25.6600213, -100.3175798",2,4,2 de abril,0.004439512
11/01/2022,12:30:00,2 de abril,"25.6600213, -100.3175798",3,1,20 de noviembre,0.001109878
14/01/2022,08:54:00,2 de abril,"25.65666, -100.2991384",4,1,4a zona,0.001109878
26/01/2022,13:10:00,2 de abril,"25.65719, -100.3019828",5,1,5 de mayo,0.001109878
05/01/2022,09:40:00,20 de noviembre,"25.6719612, -100.3357791",6,2,aaron saenz,0.002219756
21/01/2022,09:20:00,4a zona,"25.664981, -100.2947043",7,1,abedul,0.001109878
20/01/2022,09:31:00,5 de mayo,"25.6759036, -100.3356337",8,1,adolfo prieto,0.001109878
10/01/2022,08:45:00,aaron saenz,"25.6742345, -100.3756234",9,1,agricola,0.001109878
24/01/2022,09:10:00,aaron saenz,"25.6742345, -100.3756234",10,1,alejandria,0.001109878
02/01/2022,16:00:00,abedul,"25.7309266, -100.3800703",11,4,alejandro de rodas,0.004439512
26/01/2022,12:07:00,adolfo prieto,"25.6773122, -100.2926977",12,23,alfonso reyes,0.025527192
22/01/2022,15:20:00,agricola,"25.6809652, -100.2758819",13,1,alfonso santos palomo,0.001109878
18/01/2022,09:10:00,alejandria,"25.656272, -100.2934014",14,1,alfredo gonzalez treviño,0.001109878
07/01/2022,14:11:00,alejandro de rodas,"25.7348951, -100.3981963",15,1,allende,0.001109878
22/01/2022,15:34:00,alejandro de rodas,"25.7317175, -100.3937266",16,3,almazan,0.003329634
22/01/2022,15:52:00,alejandro de rodas,"25.7348951, -100.3981963",17,1,alvarez,0.001109878
25/01/2022,14:54:00,alejandro de rodas,"25.7440922, -100.4090124",18,1,alvaro obregon,0.001109878
03/01/2022,12:34:00,alfonso reyes,"25.7056567, -100.3148908",19,1,anacahuita,0.001109878
06/01/2022,09:35:00,alfonso reyes,"25.7100518, -100.3134255",20,2,ant cam a villa de santiago,0.002219756
06/01/2022,12:25:00,alfonso reyes,"25.7100518, -100.3134255",21,1,antigua carretera nacional,0.001109878
07/01/2022,08:34:00,alfonso reyes,"25.7056567, -100.3148908",22,2,antiguos ejidatarios,0.002219756
08/01/2022,15:48:00,alfonso reyes,"25.6351581, -100.2981361",23,1,antonio guerra,0.001109878
12/01/2022,10:00:00,alfonso reyes,"25.6990437, -100.3169253",24,4,antonio i villarreal,0.004439512
12/01/2022,16:00:00,alfonso reyes,"25.6402911, -100.2825846",25,9,antonio l rodriguez,0.009988901
13/01/2022,11:17:00,alfonso reyes,"25.712894, -100.3401976",26,2,apolo,0.002219756
13/01/2022,15:20:00,alfonso reyes,"25.6913456, -100.3168621",27,5,aramberri,0.00554939
17/01/2022,09:21:00,alfonso reyes,"25.6379165, -100.2947982",28,1,arboledas,0.001109878
19/01/2022,11:41:00,alfonso reyes,"25.6351581, -100.2981361",29,3,arteaga,0.003329634
19/01/2022,12:20:00,alfonso reyes,"25.7100518, -100.3134255",30,4,av fundidora,0.004439512
19/01/2022,15:12:00,alfonso reyes,"25.6990437, -100.3169253",31,1,av san francisco,0.001109878
20/01/2022,09:31:00,alfonso reyes,"25.6385742, -100.2931303",32,2,av san jeronimo,0.002219756
21/01/2022,12:37:00,alfonso reyes,"25.712894, -100.3401976",33,1,av san nicolas,0.001109878
21/01/2022,14:55:00,alfonso reyes,"25.6290318, -100.2854309",34,1,ayutla,0.001109878
22/01/2022,11:58:00,alfonso reyes,"25.6409509, -100.2733976",35,17,aztlan,0.018867925
24/01/2022,10:49:00,alfonso reyes,"25.7056567, -100.3148908",36,13,bernardo reyes,0.014428413
27/01/2022,09:59:00,alfonso reyes,"25.6290318, -100.2854309",37,1,blvd acapulco,0.001109878
27/01/2022,11:18:00,alfonso reyes,"25.6913456, -100.3168621",38,4,bolivia,0.004439512
29/01/2022,12:31:00,alfonso reyes,"25.6913456, -100.3168621",39,3,cabezada,0.003329634
30/01/2022,08:16:00,alfonso reyes,"25.7100518, -100.3134255",40,1,camino a la costa,0.001109878
30/01/2022,12:51:00,alfonso reyes,"25.6397251, -100.2715743",41,1,camino a la lagrima,0.001109878
01/01/2022,15:48:00,alfonso santos palomo,"25.7752122, -100.3695286",42,1,camino a valle alto,0.001109878
14/01/2022,14:22:00,alfredo gonzalez treviño,"25.6629181, -100.286194",43,1,camino al mirador,0.001109878
08/01/2022,08:11:00,allende,"25.6699447, -100.3115344",44,1,camino de los halcones,0.001109878
07/01/2022,15:42:00,almazan,"25.7381391, -100.3348385",45,5,camino real,0.00554939
09/01/2022,12:27:00,almazan,"25.7381391, -100.3348385",46,1,cañon grande,0.001109878
13/01/2022,10:08:00,almazan,"25.7390878, -100.3362378",47,2,carlos salazar,0.002219756
11/01/2022,12:22:00,alvarez,"25.6740701, -100.3242676",48,4,carretera nacional,0.004439512
07/01/2022,12:30:00,alvaro obregon,"25.6834821, -100.3007802",49,1,cedro,0.001109878
14/01/2022,12:03:00,anacahuita,"25.6616044, -100.2302237",50,2,celso cepeda,0.002219756
07/01/2022,11:09:00,ant cam a villa de santiago,"25.6390497, -100.2957722",51,1,cerro de la silla,0.001109878
