 Fecha, Hora, Nombre_de_la_Vialidad, Georreferencia,Número,Demanda ,Punto,Proporción
26/01/2022,20:03:00,leones,"25.7089514, -100.3740323",,,,
26/01/2022,21:43:00,leones,"25.7154063, -100.3818563",,,,
27/01/2022,16:08:00,leones,"25.7259203, -100.3942345",,,,
27/01/2022,17:02:00,leones,"25.7218184, -100.3909118",,,,
29/01/2022,18:00:00,leones,"25.7151523, -100.3814323",,,,
30/01/2022,20:00:00,leones,"25.7143915, -100.3805725",,,,
31/01/2022,21:20:00,leones,"25.7151523, -100.3814323",,,,
16/01/2022,16:27:00,ley de reforma agraria,"25.7513748, -100.386154",,,,
24/01/2022,10:05:00,libertad,"25.6997743, -100.2862772",,,,
04/01/2022,20:18:00,lincoln,"25.7644109, -100.4087882",,,,
04/01/2022,21:52:00,lincoln,"25.7255433, -100.3660017",,,,
05/01/2022,21:11:00,lincoln,"25.7644109, -100.4087882",,,,
06/01/2022,17:30:00,lincoln,"25.7406777, -100.3795788",,,,
06/01/2022,18:47:00,lincoln,"25.76098, -100.40397",,,,
06/01/2022,20:21:00,lincoln,"25.728614, -100.3687632",,,,
07/01/2022,21:10:00,lincoln,"25.7644109, -100.4087882",,,,
08/01/2022,20:12:00,lincoln,"25.7382506, -100.3774622",,,,
09/01/2022,17:23:00,lincoln,"25.7522425, -100.4170464",,,,
09/01/2022,22:13:00,lincoln,"25.7644109, -100.4087882",,,,
11/01/2022,16:40:00,lincoln,"25.7678819, -100.415573",,,,
13/01/2022,21:08:00,lincoln,"25.7522425, -100.4170464",,,,
13/01/2022,21:54:00,lincoln,"25.7644109, -100.4087882",,,,
14/01/2022,18:37:00,lincoln,"25.7406777, -100.3795788",,,,
14/01/2022,19:56:00,lincoln,"25.7382506, -100.3774622",,,,
15/01/2022,16:54:00,lincoln,"25.7522425, -100.4170464",,,,
15/01/2022,17:48:00,lincoln,"25.7644109, -100.4087882",,,,
15/01/2022,17:54:00,lincoln,"25.7201688, -100.3589183",,,,
16/01/2022,21:19:00,lincoln,"25.7406777, -100.3795788",,,,
17/01/2022,19:50:00,lincoln,"25.7527855, -100.3928213",,,,
17/01/2022,20:44:00,lincoln,"25.7527855, -100.3928213",,,,
17/01/2022,1899-12-30 00:00:00,lincoln,"25.7800991, -100.4548858",,,,
18/01/2022,18:35:00,lincoln,"25.7240391, -100.3645717",,,,
18/01/2022,18:36:00,lincoln,"25.7644109, -100.4087882",,,,
19/01/2022,18:30:00,lincoln,"25.7527855, -100.3928213",,,,
19/01/2022,23:17:00,lincoln,"25.7644109, -100.4087882",,,,
24/01/2022,10:42:00,lincoln,"25.7406777, -100.3795788",,,,
24/01/2022,12:20:00,lincoln,"25.7382506, -100.3774622",,,,
24/01/2022,15:10:00,lincoln,"25.7202267, -100.3587368",,,,
25/01/2022,16:18:00,lincoln,"25.7240391, -100.3645717",,,,
27/01/2022,20:40:00,lincoln,"25.7412894, -100.3803702",,,,
28/01/2022,19:12:00,lincoln,"25.7527855, -100.3928213",,,,
01/01/2022,18:46:00,luis d colosio,"25.7721352, -100.3890336",,,,
11/01/2022,22:32:00,luis d colosio,"25.764719, -100.3991835",,,,
11/01/2022,22:40:00,luis d colosio,"25.7930166, -100.3762627",,,,
19/01/2022,17:44:00,luis d colosio,"25.7800122, -100.386237",,,,
20/01/2022,16:47:00,luis d colosio,"25.764719, -100.3991835",,,,
22/01/2022,16:56:00,luis d colosio,"25.7721352, -100.3890336",,,,
30/01/2022,19:20:00,luis echeverria,"25.7482223, -100.3528126",,,,
31/01/2022,19:57:00,luis m farias,"25.7441897, -100.3540339",,,,
29/01/2022,17:17:00,luis moreno,"25.7165208, -100.3269151",,,,
05/01/2022,1899-12-30 00:00:00,madero,"25.6838767, -100.3133762",,,,
07/01/2022,19:21:00,madero,"25.6838767, -100.3133762",,,,
10/01/2022,16:39:00,madero,"25.6838767, -100.3133762",,,,
10/01/2022,17:49:00,madero,"25.6838767, -100.3133762",,,,
11/01/2022,18:40:00,madero,"25.6874237, -100.3446686",,,,
13/01/2022,19:57:00,madero,"25.6838767, -100.3133762",,,,
15/01/2022,23:40:00,madero,"25.6838767, -100.3133762",,,,
16/01/2022,17:37:00,madero,"25.6838767, -100.3133762",,,,
19/01/2022,17:06:00,madero,"25.6838767, -100.3133762",,,,
19/01/2022,19:06:00,madero,"25.6876029, -100.3461205",,,,
20/01/2022,16:14:00,madero,"25.6838767, -100.3133762",,,,
24/01/2022,09:05:00,madero,"25.6876029, -100.3461205",,,,
26/01/2022,17:42:00,madero,"25.6838767, -100.3133762",,,,
26/01/2022,21:17:00,madero,"25.6838767, -100.3133762",,,,
28/01/2022,16:51:00,madero,"25.6838767, -100.3133762",,,,
28/01/2022,19:45:00,madero,"25.6838767, -100.3133762",,,,
28/01/2022,21:20:00,madero,"25.6838767, -100.3133762",,,,
29/01/2022,19:05:00,madero,"25.6838767, -100.3133762",,,,
31/01/2022,16:27:00,madero,"25.6838767, -100.3133762",,,,
01/01/2022,20:31:00,madero prol,"25.6863311, -100.2662003",,,,
12/01/2022,17:22:00,madero prol,"25.6863311, -100.2662003",,,,
19/01/2022,18:33:00,madero prol,"25.6863311, -100.2662003",,,,
17/01/2022,19:36:00,magallanes,"25.6869019, -100.3080312",,,,
28/01/2022,16:48:00,manuel de la peña y peña,"25.7021733, -100.3216931",,,,
25/01/2022,23:16:00,manuel l barragan,"25.7077623, -100.3168726",,,,
26/01/2022,16:24:00,manuel l barragan,"25.7077623, -100.3168726",,,,
28/01/2022,21:50:00,manuel l barragan,"25.7073327, -100.3170447",,,,
31/01/2022,17:45:00,manuel l barragan,"25.7077623, -100.3168726",,,,
01/01/2022,17:17:00,mar de japon,"25.7492772, -100.3664025",,,,
23/01/2022,22:25:00,mar de las antillas,,,,,
18/01/2022,17:05:00,marcelino m lacas,"25.6780068, -100.3426089",,,,
02/01/2022,20:52:00,mariano azueta,"25.6600105, -100.287331",,,,
04/01/2022,16:25:00,matamoros,"25.6715815, -100.3256212",,,,
18/01/2022,16:38:00,matamoros,"25.6715815, -100.3256212",,,,
26/01/2022,17:50:00,matamoros,"25.6732268, -100.3354929",,,,
11/01/2022,16:16:00,miguel barragan,"25.6932794, -100.3339554",,,,
17/01/2022,23:45:00,miguel barragan,"25.6794843, -100.347899",,,,
17/01/2022,16:05:00,mision cumbres,"25.7374725, -100.3902142",,,,
25/01/2022,19:50:00,mm de llano,"25.6785234, -100.312149",,,,
01/01/2022,18:07:00,modesto arreola,"25.674769, -100.3074379",,,,
14/01/2022,17:37:00,modesto arreola,"25.677229, -100.3319779",,,,
05/01/2022,23:11:00,monte everest,"25.7461555, -100.4132294",,,,
05/01/2022,17:44:00,morones prieto,"25.6657081, -100.3338365",,,,
05/01/2022,1899-12-30 00:00:00,morones prieto,"25.6632461, -100.3182639",,,,
08/01/2022,23:55:00,morones prieto,"25.6678765, -100.2950035",,,,
09/01/2022,19:22:00,morones prieto,"25.6632461, -100.3182639",,,,
10/01/2022,16:33:00,morones prieto,"25.6652002, -100.3307452",,,,
10/01/2022,18:42:00,morones prieto,"25.6678765, -100.2950035",,,,
12/01/2022,19:04:00,morones prieto,"25.6652002, -100.3307452",,,,
12/01/2022,20:30:00,morones prieto,"25.6668104, -100.3394809",,,,
13/01/2022,19:17:00,morones prieto,"25.6719674, -100.284706",,,,
24/01/2022,11:26:00,morones prieto,"25.6641598, -100.3027939",,,,
26/01/2022,18:31:00,morones prieto,"25.6632461, -100.3182639",,,,
29/01/2022,21:35:00,muserola,"25.7731365, -100.3749373",,,,
25/01/2022,17:54:00,napoleon bonaparte,"25.7071205, -100.3279721",,,,
27/01/2022,19:56:00,nardo,"25.7016115, -100.3032184",,,,
15/01/2022,17:55:00,nepenta,"25.7693432, -100.3837696",,,,
15/01/2022,17:55:00,nepenta,"25.7693432, -100.3837696",,,,
31/01/2022,19:45:00,nepenta,"25.7693432, -100.3837696",,,,
21/01/2022,18:10:00,niños heroes,"25.7015357, -100.3586217",,,,
06/01/2022,16:27:00,no reeleccion,"25.7347986, -100.3638017",,,,
06/01/2022,16:30:00,no reeleccion,"25.7363263, -100.3662778",,,,
08/01/2022,18:44:00,no reeleccion,"25.770477, -100.404223",,,,
18/01/2022,22:18:00,no reeleccion,"25.7632586, -100.3955824",,,,
27/01/2022,22:54:00,no reeleccion,"25.7706267, -100.4053446",,,,
28/01/2022,20:14:00,no reeleccion,"25.7347986, -100.3638017",,,,
11/01/2022,16:47:00,nogal,"25.7277027, -100.3794613",,,,
15/01/2022,20:43:00,nopal,"25.7476503, -100.2646466",,,,
15/01/2022,17:28:00,nueva independencia,"25.6576726, -100.3276886",,,,
20/01/2022,17:26:00,nuevo mexico,"25.7276086, -100.349191",,,,
20/01/2022,19:44:00,ocampo,"25.6667947, -100.3193205",,,,
07/01/2022,17:29:00,orion,"25.6375709, -100.2768775",,,,
14/01/2022,18:35:00,osvaldo sanchez,"25.7072985, -100.3231755",,,,
01/01/2022,17:05:00,pablo a de la garza,"25.6915168, -100.2874254",,,,
29/01/2022,16:21:00,pablo a de la garza,"25.6988972, -100.2872954",,,,
10/01/2022,17:17:00,pablo gonzalez g.,"25.6840701, -100.3450896",,,,
11/01/2022,19:17:00,pablo gonzalez g.,"25.6815832, -100.3503174",,,,
12/01/2022,23:21:00,pablo gonzalez g.,"25.6768503, -100.3611176",,,,
06/01/2022,1899-12-30 00:00:00,padre mier,"25.6695782, -100.3216168",,,,
02/01/2022,20:15:00,palacio de justicia,"25.7283727, -100.3370123",,,,
03/01/2022,17:09:00,paseo de cumbres,"25.7487734, -100.4093225",,,,
24/01/2022,14:55:00,pedro infante,"25.7357071, -100.3976299",,,,
10/01/2022,19:50:00,pedro martinez,"25.6621545, -100.2947526",,,,
14/01/2022,18:37:00,pelicano,"25.7361919, -100.3762016",,,,
12/01/2022,16:26:00,penitenciaria,"25.7241218, -100.3396858",,,,
21/01/2022,22:38:00,penitenciaria,"25.723101, -100.3365064",,,,
14/01/2022,22:54:00,periodistas,"25.7720153, -100.4152249",,,,
01/01/2022,22:11:00,pez tambor,"25.75555, -100.3831749",,,,
03/01/2022,16:28:00,pino suarez,"25.6661568, -100.3202256",,,,
04/01/2022,17:51:00,pino suarez,"25.6661568, -100.3202256",,,,
06/01/2022,17:24:00,pino suarez,"25.6661568, -100.3202256",,,,
27/01/2022,18:01:00,pino suarez,"25.6661568, -100.3202256",,,,
30/01/2022,17:08:00,pino suarez,"25.6661568, -100.3202256",,,,
03/01/2022,17:35:00,pirineos,"25.6545339, -100.2946096",,,,
16/01/2022,16:10:00,platon sanchez,"25.6783766, -100.3024106",,,,
19/01/2022,17:25:00,platon sanchez,"25.6783766, -100.3024106",,,,
31/01/2022,19:36:00,platon sanchez,"25.6783766, -100.3024106",,,,
08/01/2022,17:50:00,plumbago,"25.7656177, -100.3894731",,,,
17/01/2022,16:41:00,plumbago,"25.7656177, -100.3894731",,,,
28/01/2022,17:57:00,porfirio diaz,"25.6710833, -100.3269499",,,,
14/01/2022,17:28:00,portal del huajuco,"25.5657087, -100.2289548",,,,
19/01/2022,17:33:00,portugal,"25.6718993, -100.362078",,,,
07/01/2022,18:12:00,prisciliano elizondo,"25.6914823, -100.2822316",,,,
22/01/2022,20:49:00,puerta de hierro,"25.752288, -100.4172802",,,,
07/01/2022,21:36:00,puerta del sol,"25.6820726, -100.3611839",,,,
22/01/2022,17:59:00,puerto castilla,"25.6234366, -100.2809718",,,,
22/01/2022,17:59:00,puerto castilla,"25.6234366, -100.2809718",,,,
04/01/2022,16:08:00,puerto vallarta,"25.6211272, -100.2798294",,,,
01/01/2022,16:10:00,rangel frias,"25.7152167, -100.3617773",,,,
09/01/2022,17:32:00,rangel frias,"25.7101678, -100.3655685",,,,
12/01/2022,19:05:00,rangel frias,"25.7101678, -100.3655685",,,,
12/01/2022,19:06:00,rangel frias,"25.7152167, -100.3617773",,,,
15/01/2022,19:31:00,rangel frias,"25.7305627, -100.3451109",,,,
19/01/2022,18:39:00,rangel frias,"25.7101678, -100.3655685",,,,
19/01/2022,19:04:00,rangel frias,"25.7152167, -100.3617773",,,,
22/01/2022,20:39:00,rangel frias,"25.7152167, -100.3617773",,,,
23/01/2022,21:15:00,rangel frias,"25.7152167, -100.3617773",,,,
25/01/2022,19:25:00,rangel frias,"25.7152167, -100.3617773",,,,
27/01/2022,17:42:00,rangel frias,"25.7101678, -100.3655685",,,,
28/01/2022,17:05:00,rangel frias,"25.7152167, -100.3617773",,,,
29/01/2022,23:21:00,rangel frias,"25.7101678, -100.3655685",,,,
31/01/2022,16:56:00,rangel frias,"25.7162687, -100.3609895",,,,
31/01/2022,17:03:00,rangel frias,"25.7254286, -100.3539888",,,,
05/01/2022,19:45:00,real de cumbres,"25.7543592, -100.4034805",,,,
30/01/2022,17:30:00,reforma,"25.6840667, -100.3064622",,,,
30/01/2022,19:27:00,reforma,"25.6840667, -100.3064622",,,,
03/01/2022,18:54:00,revolucion,"25.6313028, -100.2879382",,,,
08/01/2022,16:01:00,revolucion,"25.6644631, -100.2837621",,,,
10/01/2022,19:12:00,revolucion,"25.6313028, -100.2879382",,,,
13/01/2022,19:16:00,revolucion,"25.6416088, -100.2735927",,,,
14/01/2022,17:56:00,revolucion,"25.6644631, -100.2837621",,,,
18/01/2022,16:35:00,revolucion,"25.6416088, -100.2735927",,,,
22/01/2022,18:30:00,revolucion,"25.6644631, -100.2837621",,,,
29/01/2022,18:28:00,revolucion,"25.6313028, -100.2879382",,,,
18/01/2022,22:17:00,rio aguanaval,"25.6487022, -100.297425",,,,
02/01/2022,20:17:00,rio nazas,"25.6412936, -100.3045952",,,,
28/01/2022,16:54:00,rio nazas,"25.6406194, -100.3054908",,,,
12/01/2022,17:30:00,rio panuco,"25.6477155, -100.2956425",,,,
20/01/2022,16:37:00,rio panuco,"25.6455895, -100.2937819",,,,
09/01/2022,17:47:00,rodrigo gomez,"25.7401664, -100.3426144",,,,
15/01/2022,16:06:00,rodrigo gomez,"25.7314009, -100.3426639",,,,
17/01/2022,20:06:00,rodrigo gomez,"25.7390878, -100.3362378",,,,
18/01/2022,19:32:00,rodrigo gomez,"25.7235232, -100.3424534",,,,
21/01/2022,19:03:00,rodrigo gomez,"25.7401664, -100.3426144",,,,
13/01/2022,19:17:00,rogelio cantu,"25.6849535, -100.379859",,,,
20/01/2022,16:21:00,rogelio cantu,"25.6750352, -100.3795425",,,,
24/01/2022,08:30:00,rogelio cantu,"25.6750352, -100.3795425",,,,
26/01/2022,23:55:00,rogelio cantu,"25.6938849, -100.3815191",,,,
28/01/2022,17:22:00,rogelio cantu,"25.6849535, -100.379859",,,,
28/01/2022,18:30:00,rogelio cantu,"25.6849535, -100.379859",,,,
04/01/2022,16:16:00,ruiz cortines,"25.7101892, -100.355126",,,,
06/01/2022,16:44:00,ruiz cortines,"25.7040457, -100.3014531",,,,
06/01/2022,23:34:00,ruiz cortines,"25.7456422, -100.3874536",,,,
08/01/2022,18:39:00,ruiz cortines,"25.7036573, -100.2866874",,,,
11/01/2022,21:40:00,ruiz cortines,"25.7046313, -100.340237",,,,
11/01/2022,1899-12-30 00:00:00,ruiz cortines,"25.7357506, -100.3783705",,,,
12/01/2022,17:48:00,ruiz cortines,"25.7456422, -100.3874536",,,,
12/01/2022,21:47:00,ruiz cortines,"25.7135909, -100.3625074",,,,
13/01/2022,20:13:00,ruiz cortines,"25.7230383, -100.3676411",,,,
14/01/2022,20:03:00,ruiz cortines,"25.7049989, -100.351666",,,,
16/01/2022,17:36:00,ruiz cortines,"25.7049989, -100.351666",,,,
17/01/2022,16:10:00,ruiz cortines,"25.7036573, -100.2866874",,,,
18/01/2022,19:34:00,ruiz cortines,"25.7101892, -100.355126",,,,
18/01/2022,19:44:00,ruiz cortines,"25.7028929, -100.32629",,,,
20/01/2022,17:10:00,ruiz cortines,"25.703588, -100.2828061",,,,
23/01/2022,22:57:00,ruiz cortines,"25.7046313, -100.340237",,,,
24/01/2022,13:22:00,ruiz cortines,"25.7045743, -100.3357289",,,,
30/01/2022,17:00:00,ruiz cortines,"25.7047054, -100.3451053",,,,
30/01/2022,19:02:00,ruiz cortines,"25.7040457, -100.3014531",,,,
31/01/2022,18:24:00,ruiz cortines,"25.7036573, -100.2866874",,,,
25/01/2022,18:24:00,ruperto de leon cavazos,"25.6349139, -100.3012752",,,,
08/01/2022,18:43:00,san jose,"25.7219211, -100.3645271",,,,
28/01/2022,18:28:00,san martin,"25.7390878, -100.3362378",,,,
20/01/2022,16:21:00,sayula,"25.6867538, -100.3465453",,,,
24/01/2022,10:51:00,serafin peña,"25.6747239, -100.3250928",,,,
15/01/2022,22:13:00,sevilla,"25.6456288, -100.2880809",,,,
16/01/2022,23:56:00,sevilla,"25.6456288, -100.2880809",,,,
19/01/2022,19:22:00,sierra alta,"25.5790678, -100.2607689",,,,
20/01/2022,16:50:00,sierra de ascotan,"25.7245677, -100.3583983",,,,
03/01/2022,20:57:00,simon bolivar,"25.6960632, -100.3434697",,,,
04/01/2022,17:23:00,simon bolivar,"25.6960632, -100.3434697",,,,
11/01/2022,16:08:00,simon bolivar,"25.6960632, -100.3434697",,,,
14/01/2022,19:26:00,simon bolivar,"25.6960632, -100.3434697",,,,
19/01/2022,19:31:00,simon bolivar,"25.684919, -100.3450076",,,,
27/01/2022,16:53:00,simon bolivar,"25.6960632, -100.3434697",,,,
03/01/2022,16:11:00,supremos poderes,"25.6230157, -100.2985274",,,,
29/01/2022,18:30:00,tapia,"25.6799427, -100.3167561",,,,
17/01/2022,16:56:00,tenochtitlan,"25.7406577, -100.3571966",,,,
04/01/2022,18:43:00,tepatitlan,"25.7147017, -100.3693284",,,,
07/01/2022,23:30:00,tlatelolco,"25.7446045, -100.3623133",,,,
11/01/2022,19:54:00,treviño,"25.6801472, -100.3021801",,,,
24/01/2022,12:55:00,treviño,"25.6801472, -100.3021801",,,,
28/01/2022,19:29:00,treviño,"25.6801472, -100.3021801",,,,
30/01/2022,16:17:00,uruguay,"25.6870622, -100.354243",,,,
30/01/2022,18:18:00,uruguay,"25.6870622, -100.354243",,,,
01/01/2022,22:23:00,venustiano carranza,"25.6782339, -100.3322151",,,,
03/01/2022,20:36:00,venustiano carranza,"25.6782339, -100.3322151",,,,
07/01/2022,16:11:00,venustiano carranza,"25.6748171, -100.3325842",,,,
07/01/2022,19:15:00,venustiano carranza,"25.6782339, -100.3322151",,,,
12/01/2022,20:15:00,venustiano carranza,"25.6782339, -100.3322151",,,,
16/01/2022,21:41:00,venustiano carranza,"25.7011737, -100.3302908",,,,
27/01/2022,16:11:00,venustiano carranza,"25.6782339, -100.3322151",,,,
28/01/2022,20:11:00,venustiano carranza,"25.6782339, -100.3322151",,,,
05/01/2022,17:40:00,villagran,"25.6796561, -100.3225579",,,,
24/01/2022,15:33:00,villagran,"25.6993766, -100.3216793",,,,
20/01/2022,20:04:00,zaragoza,"25.1890645, -99.8308149",,,,
22/01/2022,19:49:00,zaragoza,"25.1890645, -99.8308149",,,,
27/01/2022,19:45:00,zaragoza,"25.1890645, -99.8308149",,,,
03/01/2022,19:54:00,zempoala,"25.738684, -100.3580673",,,,
21/01/2022,17:59:00,zuazua,"25.6752282, -100.3083735",,,,
