 Fecha, Hora, Nombre_de_la_Vialidad, Georreferencia,Número,Demanda ,Punto,Proporción
14/01/2022,18:42:00,colon,"25.6876835, -100.331672",148,1,mm de llano,0.001529052
15/01/2022,23:01:00,colon,"25.6876835, -100.331672",149,2,modesto arreola,0.003058104
17/01/2022,16:55:00,colon,"25.6817363, -100.2753155",150,1,monte everest,0.001529052
22/01/2022,16:09:00,colon,"25.6881149, -100.3349709",151,11,morones prieto,0.016819572
24/01/2022,11:15:00,colon,"25.6876835, -100.331672",152,1,muserola,0.001529052
28/01/2022,16:16:00,colon,"25.6876835, -100.331672",153,1,napoleon bonaparte,0.001529052
28/01/2022,21:29:00,colon,"25.6817363, -100.2753155",154,1,nardo,0.001529052
30/01/2022,21:25:00,colon,"25.6876835, -100.331672",155,3,nepenta,0.004587156
30/01/2022,22:50:00,colon,"25.6883017, -100.3369083",156,1,niños heroes,0.001529052
31/01/2022,16:20:00,colon,"25.6876835, -100.331672",157,6,no reeleccion,0.009174312
31/01/2022,17:47:00,colon,"25.6876835, -100.331672",158,1,nogal,0.001529052
05/01/2022,18:44:00,condor,"25.7384582, -100.3730829",159,1,nopal,0.001529052
07/01/2022,17:12:00,condor,"25.7384582, -100.3730829",160,1,nueva independencia,0.001529052
10/01/2022,18:27:00,constitucion,"25.6674883, -100.3312605",161,1,nuevo mexico,0.001529052
11/01/2022,17:29:00,constitucion,"25.6727925, -100.352228",162,1,ocampo,0.001529052
13/01/2022,21:43:00,constitucion,"25.664449, -100.3140082",163,1,orion,0.001529052
14/01/2022,19:25:00,constitucion,"25.7633006, -100.2419641",164,1,osvaldo sanchez,0.001529052
21/01/2022,19:30:00,constitucion,"25.6674883, -100.3312605",165,2,pablo a de la garza,0.003058104
23/01/2022,17:11:00,constitucion,"25.7633006, -100.2419641",166,3,pablo gonzalez g.,0.004587156
23/01/2022,18:51:00,constitucion,"25.7633006, -100.2419641",167,1,padre mier,0.001529052
31/01/2022,19:54:00,constituyentes de nl,"25.6978458, -100.2617702",168,1,palacio de justicia,0.001529052
22/01/2022,18:20:00,contrato colectivo,"25.7378744, -100.38198",169,1,paseo de cumbres,0.001529052
31/01/2022,16:02:00,coyoacan,"25.7409305, -100.359152",170,1,pedro infante,0.001529052
05/01/2022,17:18:00,cuauhtemoc,"25.6757314, -100.3183984",171,1,pedro martinez,0.001529052
08/01/2022,19:47:00,cuauhtemoc,"25.6757314, -100.3183984",172,1,pelicano,0.001529052
13/01/2022,17:33:00,cuauhtemoc,"25.6757314, -100.3183984",173,2,penitenciaria,0.003058104
17/01/2022,20:12:00,cuauhtemoc,"25.6757314, -100.3183984",174,1,periodistas,0.001529052
22/01/2022,19:34:00,cuauhtemoc,"25.6757314, -100.3183984",175,1,pez tambor,0.001529052
25/01/2022,19:09:00,cuauhtemoc,"25.6757314, -100.3183984",176,5,pino suarez,0.00764526
31/01/2022,16:24:00,cuauhtemoc,"25.6757314, -100.3183984",177,1,pirineos,0.001529052
27/01/2022,21:26:00,cumbres san agustin,"25.7585632, -100.4187528",178,3,platon sanchez,0.004587156
04/01/2022,19:56:00,de los astros,"25.7676158, -100.4043404",179,2,plumbago,0.003058104
17/01/2022,16:10:00,de los astros,"25.7783899, -100.3980803",180,1,porfirio diaz,0.001529052
26/01/2022,16:45:00,de los astros,"25.7733, -100.4015263",181,1,portal del huajuco,0.001529052
06/01/2022,20:00:00,de los colonos,"25.7907056, -100.3781541",182,1,portugal,0.001529052
10/01/2022,21:30:00,de los profesionistas,"25.7936291, -100.3834318",183,1,prisciliano elizondo,0.001529052
29/01/2022,23:47:00,de los propietarios,"25.7940433, -100.3812533",184,1,puerta de hierro,0.001529052
09/01/2022,18:24:00,derecho de huelga,"25.7698902, -100.3625001",185,1,puerta del sol,0.001529052
21/01/2022,21:48:00,dia del trabajo,"25.7338961, -100.3800107",186,2,puerto castilla,0.003058104
03/01/2022,18:50:00,diaz ordaz,"25.6724007, -100.3730481",187,1,puerto vallarta,0.001529052
19/01/2022,16:50:00,diaz ordaz,"25.6734226, -100.3688378",188,15,rangel frias,0.02293578
31/01/2022,19:18:00,diaz ordaz,"25.6724007, -100.3730481",189,1,real de cumbres,0.001529052
17/01/2022,23:25:00,edison,"25.6852694, -100.3334074",190,2,reforma,0.003058104
02/01/2022,16:29:00,elias reynoso santana,"25.6684936, -100.2804217",191,8,revolucion,0.012232416
18/01/2022,18:20:00,emilio carranza,"25.6758689, -100.3117201",192,1,rio aguanaval,0.001529052
25/01/2022,1899-12-30 00:00:00,emilio carranza,"25.6758689, -100.3117201",193,2,rio nazas,0.003058104
26/01/2022,17:49:00,emilio portes gil,"25.6405007, -100.2942783",194,2,rio panuco,0.003058104
11/01/2022,17:06:00,enrique c livas,"25.6932688, -100.3563147",195,5,rodrigo gomez,0.00764526
21/01/2022,19:06:00,enrique c livas,"25.6932688, -100.3563147",196,6,rogelio cantu,0.009174312
16/01/2022,22:14:00,espinosa,"25.6775456, -100.3111951",197,20,ruiz cortines,0.03058104
04/01/2022,22:38:00,esquisto,"25.7599054, -100.3686576",198,1,ruperto de leon cavazos,0.001529052
23/01/2022,1899-12-30 00:00:00,felipe angeles,"25.6332105, -100.2874706",199,1,san jose,0.001529052
31/01/2022,17:45:00,felipe de jesus benavides,"25.6802179, -100.3568869",200,1,san martin,0.001529052
03/01/2022,19:12:00,felix u gomez,"25.6876835, -100.2962458",201,1,sayula,0.001529052
10/01/2022,17:11:00,felix u gomez,"25.6876835, -100.2962458",202,1,serafin peña,0.001529052
17/01/2022,19:34:00,felix u gomez,"25.6876835, -100.2962458",203,2,sevilla,0.003058104
26/01/2022,17:05:00,felix u gomez,"25.6876835, -100.2962458",204,1,sierra alta,0.001529052
23/01/2022,16:35:00,ferrocarrilera,"25.7286249, -100.3330978",205,1,sierra de ascotan,0.001529052
03/01/2022,19:28:00,fidel velazquez,"25.7242378, -100.3268424",206,6,simon bolivar,0.009174312
04/01/2022,18:41:00,fidel velazquez,"25.7217347, -100.3339563",207,1,supremos poderes,0.001529052
