 Fecha, Hora, Nombre_de_la_Vialidad, Georreferencia,Numero,Demanda,Punto,Proporción
11/01/2022,06:35:00,bernardo reyes,"25.7054351, -100.3266576",64,1,luis mora,0.003717472
11/01/2022,07:27:00,colon,"25.6836856, -100.2845659",65,6,madero,0.022304833
11/01/2022,01:35:00,gonzalitos,"25.711167, -100.35044",66,1,manuel l barragan,0.003717472
11/01/2022,04:17:00,morones prieto,"25.6632461, -100.3182639",67,1,mina,0.003717472
11/01/2022,07:32:00,rangel frias,"25.7277719, -100.3496714",68,1,mina charcas,0.003717472
11/01/2022,06:48:00,rio lerma,"25.712894, -100.3401976",69,1,montaña,0.003717472
12/01/2022,05:25:00,alfonso reyes,"25.6990437, -100.3169253",70,15,morones prieto,0.055762082
12/01/2022,00:48:00,colon,"25.6839012, -100.2835786",71,1,narciso mendoza,0.003717472
12/01/2022,06:28:00,colon,"25.6876835, -100.331672",72,2,no reeleccion,0.007434944
12/01/2022,07:14:00,diaz ordaz,"25.6734226, -100.3688378",73,3,pablo gonzalez g.,0.011152416
12/01/2022,07:32:00,jesus gonzalez ortega,"25.6709126, -100.3021837",74,1,paseo de cumbres,0.003717472
12/01/2022,07:49:00,luis mora,"25.6879849, -100.3129082",75,1,paseo de los navegantes,0.003717472
12/01/2022,07:56:00,morones prieto,"25.6641598, -100.3027939",76,1,paseo dinastia,0.003717472
12/01/2022,07:56:00,morones prieto,"25.6678765, -100.2950035",77,1,pedro infante,0.003717472
12/01/2022,07:56:00,morones prieto,"25.6641598, -100.3027939",78,1,plumbago,0.003717472
13/01/2022,02:17:00,cabezada,"25.779373, -100.394818",79,1,portales de los valles,0.003717472
13/01/2022,00:16:00,constitucion,"25.664449, -100.3140082",80,1,priv victoria,0.003717472
13/01/2022,00:58:00,constitucion,"25.7633006, -100.2419641",81,1,puerta del sol,0.003717472
13/01/2022,07:49:00,constitucion,"25.664449, -100.3140082",82,3,rangel frias,0.011152416
13/01/2022,07:25:00,diego diaz de berlanga,"25.70516, -100.2913372",83,1,reforma,0.003717472
13/01/2022,01:34:00,montaña,"25.768012, -100.3638627",84,9,revolucion,0.033457249
13/01/2022,07:48:00,morones prieto,"25.6703137, -100.3524817",85,1,reynosa,0.003717472
13/01/2022,06:12:00,rogelio cantu,"25.6849535, -100.379859",86,1,rincon de las cumbres,0.003717472
13/01/2022,05:55:00,ruiz cortines,"25.7028929, -100.32629",87,1,rio lerma,0.003717472
14/01/2022,03:15:00,aztlan,"25.7534746, -100.3701372",88,1,rodrigo gomez,0.003717472
14/01/2022,02:32:00,bernardo reyes,"25.6929268, -100.3240908",89,4,rogelio cantu,0.014869888
14/01/2022,07:56:00,camino al diente,"25.617214, -100.2703335",90,7,ruiz cortines,0.026022305
14/01/2022,07:45:00,constitucion,"25.6696945, -100.2962445",91,1,ruperto martinez,0.003717472
14/01/2022,06:34:00,garza sada,"25.6625408, -100.2974123",92,1,san jose,0.003717472
14/01/2022,07:41:00,heroico colegio militar,"25.7001488, -100.3129441",93,2,san juan de los lagos,0.007434944
14/01/2022,03:37:00,lincoln,"25.7527855, -100.3928213",94,1,santos cantu salinas,0.003717472
