time,elapsed time,best,best bound,gap %,status
5.2891950607299805,1576.5105571746826,-1e+100,1.320800000001014,100.0,2
time,elapsed time,best,best bound,gap %,status
5.290956974029541,1576.5105571746826,1.304600000001014,1.320800000001014,1.2417599264132608,2
time,elapsed time,best,best bound,gap %,status
5.292618989944458,1576.5105571746826,1.304600000001014,1.306125000001014,0.11689406714692728,2
n
e
w
time,elapsed time,best,best bound,gap %,status
5.3425612449646,1581.3325045108795,-1e+100,1.320800000001014,100.0,2
time,elapsed time,best,best bound,gap %,status
5.3443121910095215,1581.3325045108795,1.304600000001014,1.320800000001014,1.2417599264132608,2
time,elapsed time,best,best bound,gap %,status
5.345618009567261,1581.3325045108795,1.304600000001014,1.306125000001014,0.11689406714692728,2
n
e
w
time,elapsed time,best,best bound,gap %,status
5.5783398151397705,1586.371250152588,-1e+100,1.320800000001015,100.0,2
time,elapsed time,best,best bound,gap %,status
5.580235958099365,1586.371250152588,1.304600000001015,1.320800000001015,1.24175992641326,2
time,elapsed time,best,best bound,gap %,status
5.581725835800171,1586.371250152588,1.304600000001015,1.306125000001015,0.1168940671469272,2
n
e
w
time,elapsed time,best,best bound,gap %,status
5.304292917251587,1591.183692932129,-1e+100,1.320800000001014,100.0,2
time,elapsed time,best,best bound,gap %,status
5.306080102920532,1591.183692932129,1.304600000001014,1.320800000001014,1.2417599264132608,2
time,elapsed time,best,best bound,gap %,status
5.307571887969971,1591.183692932129,1.304600000001014,1.306125000001014,0.11689406714692728,2
n
e
w
time,elapsed time,best,best bound,gap %,status
5.59489107131958,1596.2373762130737,-1e+100,1.320800000001015,100.0,2
time,elapsed time,best,best bound,gap %,status
5.59670615196228,1596.2373762130737,1.304600000001015,1.320800000001015,1.24175992641326,2
time,elapsed time,best,best bound,gap %,status
5.598019123077393,1596.2373762130737,1.304600000001015,1.306125000001015,0.1168940671469272,2
n
e
w
time,elapsed time,best,best bound,gap %,status
5.35123872756958,1601.1092202663422,-1e+100,1.320800000001014,100.0,2
time,elapsed time,best,best bound,gap %,status
5.35305380821228,1601.1092202663422,1.304600000001014,1.320800000001014,1.2417599264132608,2
time,elapsed time,best,best bound,gap %,status
5.354588747024536,1601.1092202663422,1.304600000001014,1.306125000001014,0.11689406714692728,2
n
e
w
time,elapsed time,best,best bound,gap %,status
5.680762767791748,1606.2228150367737,-1e+100,1.320800000001015,100.0,2
time,elapsed time,best,best bound,gap %,status
5.682855844497681,1606.2228150367737,1.304600000001015,1.320800000001015,1.24175992641326,2
time,elapsed time,best,best bound,gap %,status
5.6843037605285645,1606.2228150367737,1.304600000001015,1.306125000001015,0.1168940671469272,2
n
e
w
time,elapsed time,best,best bound,gap %,status
5.238176107406616,1610.9542500972748,-1e+100,1.320800000001014,100.0,2
time,elapsed time,best,best bound,gap %,status
5.239896059036255,1610.9542500972748,1.304600000001014,1.320800000001014,1.2417599264132608,2
time,elapsed time,best,best bound,gap %,status
5.24129581451416,1610.9542500972748,1.304600000001014,1.306125000001014,0.11689406714692728,2
n
e
w
time,elapsed time,best,best bound,gap %,status
5.593002080917358,1615.9965209960938,-1e+100,1.320800000001015,100.0,2
time,elapsed time,best,best bound,gap %,status
5.5948851108551025,1615.9965209960938,1.304600000001015,1.320800000001015,1.24175992641326,2
time,elapsed time,best,best bound,gap %,status
5.596281051635742,1615.9965209960938,1.304600000001015,1.306125000001015,0.1168940671469272,2
n
e
w
time,elapsed time,best,best bound,gap %,status
5.241931915283203,1620.754765033722,-1e+100,1.320800000001014,100.0,2
time,elapsed time,best,best bound,gap %,status
5.2435948848724365,1620.754765033722,1.304600000001014,1.320800000001014,1.2417599264132608,2
time,elapsed time,best,best bound,gap %,status
5.244976997375488,1620.754765033722,1.304600000001014,1.306125000001014,0.11689406714692728,2
n
e
w
time,elapsed time,best,best bound,gap %,status
5.669167757034302,1625.8728339672089,-1e+100,1.320800000001015,100.0,2
time,elapsed time,best,best bound,gap %,status
5.671030044555664,1625.8728339672089,1.304600000001015,1.320800000001015,1.24175992641326,2
time,elapsed time,best,best bound,gap %,status
5.672358751296997,1625.8728339672089,1.304600000001015,1.306125000001015,0.1168940671469272,2
n
e
w
time,elapsed time,best,best bound,gap %,status
5.200567007064819,1630.5940310955048,-1e+100,1.320800000001014,100.0,2
time,elapsed time,best,best bound,gap %,status
5.2024970054626465,1630.5940310955048,1.304600000001014,1.320800000001014,1.2417599264132608,2
time,elapsed time,best,best bound,gap %,status
5.204023122787476,1630.5940310955048,1.304600000001014,1.306125000001014,0.11689406714692728,2
n
e
w
time,elapsed time,best,best bound,gap %,status
5.660049915313721,1635.6968929767609,-1e+100,1.320800000001015,100.0,2
time,elapsed time,best,best bound,gap %,status
5.6618897914886475,1635.6968929767609,1.304600000001015,1.320800000001015,1.24175992641326,2
time,elapsed time,best,best bound,gap %,status
5.663211107254028,1635.6968929767609,1.304600000001015,1.306125000001015,0.1168940671469272,2
n
e
w
time,elapsed time,best,best bound,gap %,status
5.185374021530151,1640.3878722190857,-1e+100,1.320800000001014,100.0,2
time,elapsed time,best,best bound,gap %,status
5.187179088592529,1640.3878722190857,1.304600000001014,1.320800000001014,1.2417599264132608,2
time,elapsed time,best,best bound,gap %,status
5.188821077346802,1640.3878722190857,1.304600000001014,1.306125000001014,0.11689406714692728,2
n
e
w
time,elapsed time,best,best bound,gap %,status
5.6761322021484375,1645.5111932754517,-1e+100,1.320800000001015,100.0,2
time,elapsed time,best,best bound,gap %,status
5.677983999252319,1645.5111932754517,1.304600000001015,1.320800000001015,1.24175992641326,2
