Instance_270_16_10_6_6,Instance_270_16_50_6_6,Instance_270_16_100_6_6,Instance_270_16_150_6_6,Instance_270_16_200_6_6,Instance_270_30_10_6_6,Instance_270_30_50_6_6,Instance_270_30_100_6_6,Instance_270_30_150_6_6,Instance_270_30_200_6_6,Instance_270_100_10_6_6,Instance_270_100_50_6_6,Instance_270_100_100_6_6,Instance_270_100_150_6_6,Instance_270_100_200_6_6
-3.192,-0.186,-0.44505,-0.348366667,-0.28845,-3.0765,-0.7175,-0.4506,-0.347977778,-0.29385,-3.003,-0.721,-0.4353,-0.339577778,-0.2814
-2.234,0.089,1.412,0.488366667,0.17015,-2.141,-0.4305,0.9304,0.317811111,0.31125,-1.723,-0.17,0.1164,0.140666667,0.23715
-1.0245,0.4365,1.9935,1.023355556,0.43195,-1.838,0.153,1.48915,0.654211111,0.42475,-1.3215,-0.12,0.4735,,
-0.523,0.494,,1.2936,0.89165,-1.386,0.3385,1.6135,0.969088889,0.77395,-1.2215,0.091,,,
,0.6815,,1.479138889,1.246925,-1.2755,0.3705,1.91015,1.085188889,1.4939,-0.807,0.123,,,
,0.795,,1.490844444,1.30105,,0.9355,,1.180166667,,,,,,
,0.8465,,,,,,,1.531144444,,,,,,
,0.866,,,,,,,,,,,,,
,1.1715,,,,,,,,,,,,,
