,Lunes,Martes,Miércoles,Jueves,Lunes,Martes,Miércoles,Jueves,Lunes,Martes,Miércoles,Jueves,Lunes,Martes,Miércoles,Jueves,Lunes
,03/01/2022,04/01/2022,05/01/2022,06/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,31/01/2022
2 de abril,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aaron saenz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alejandro de rodas,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
alfonso reyes,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
antigua carretera nacional,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
antiguos ejidatarios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
antonio l rodriguez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apolo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
aramberri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arteaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
articulo 123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aztlan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
bernardo reyes,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
betty leal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cabezada,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
camino al diente,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
camino del pastizal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
caracas,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
carretera nacional,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
chapultepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
churubusco,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ciudad victoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
colon,0,0,0,0,1,1,2,0,0,2,1,0,0,0,0,0,0
constitucion,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,1,0
cuauhtemoc,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
david g berlanga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
de los profesionistas,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
de los propietarios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
derecho de huelga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diaz ordaz,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
diego diaz de berlanga,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
diego maldonado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dr coss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
esquisto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
felix u gomez,0,2,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0
fidel velazquez,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
francisco marquez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
franco,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
galeana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gardenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
garza sada,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1
gemelos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gomez morin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
gonzalitos,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
guadalupe victoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guerrero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
heroico colegio militar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hilario martinez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iztaccihuatl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
jesus gonzalez ortega,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
jose a conchello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jose alvarado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jose benitez,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
jose ma vigil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
juan sebastian bach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
juarez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
la luz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
las rocas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lazaro cardenas,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
leones,1,1,0,0,0,0,0,0,0,0,1,2,0,0,2,3,0
linares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
lincoln,0,0,2,0,1,0,0,0,0,0,1,0,2,1,0,0,2
luis mora,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
madero,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
manuel l barragan,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mina charcas,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
montaña,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
morones prieto,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,2,0
narciso mendoza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
no reeleccion,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
pablo gonzalez g.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
paseo de cumbres,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
paseo de los navegantes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paseo dinastia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
pedro infante,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
plumbago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
portales de los valles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
priv victoria,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
puerta del sol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rangel frias,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
reforma,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
revolucion,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0
reynosa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
rincon de las cumbres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rio lerma,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
rodrigo gomez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rogelio cantu,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
ruiz cortines,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
ruperto martinez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
san jose,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
san juan de los lagos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
santos cantu salinas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
serafin peña,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
simon bolivar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tucuman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
venustiano carranza,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
villagran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washington,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
zuazua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
