Instance_168_16_10_6_6,Instance_168_16_50_6_6,Instance_168_16_100_6_6,Instance_168_16_150_6_6,Instance_168_16_200_6_6,Instance_168_30_10_6_6,Instance_168_30_50_6_6,Instance_168_30_100_6_6,Instance_168_30_150_6_6,Instance_168_30_200_6_6,Instance_168_100_10_6_6,Instance_168_100_50_6_6,Instance_168_100_100_6_6,Instance_168_100_150_6_6,Instance_168_100_200_6_6
-2.688,-0.589,-0.3609,0.3768,-0.2424,-2.436,-0.5835,-0.3669,-0.292133333,-0.24315,-2.7615,-0.571,-0.3576,-0.288166667,-0.23695
-1.559,-0.078,0.5119,0.503033333,1.41915,-1.7205,0.2245,0.2297,0.655111111,-0.0361,-1.24,0.656,0.8765,0.340877778,
-1.4485,0.1155,0.52135,1.1859,1.4576,-0.5525,0.6275,0.4514,0.655111111,0.0851,-1.1695,,1.42655,,
-0.8545,0.232,1.27835,1.261688889,1.83115,-0.4825,0.6655,0.60615,0.661344444,0.14065,-0.5865,,1.52285,,
-0.6045,0.2775,1.7324,1.740855556,,,0.9285,,0.973833333,0.52695,-0.516,,,,
,0.2965,,,,,1.1885,,,0.73345,-0.3655,,,,
,1.0845,,,,,,,,,-0.0825,,,,
,1.3475,,,,,,,,,,,,,
