name,I size,L size,S size,model time,best obj,best bound,gap ,status,total time,k1,k2
Instance_900_16_,900,16,200,143.769233,9.3583,9.60075,2.59075,2,155.1942332,10,6
Instance_900_16_,900,16,200,151.7443521,9.6102,9.9698,3.74186,2,168.1603529,20,11
Instance_900_16_,900,16,200,166.5486789,9.6102,9.6791,0.71695,2,186.2778418,35,20
Instance_1500_16_,1500,16,10,6.986963987,12.0665,12.0665,0.00000,2,7.770510912,10,6
Instance_1500_16_,1500,16,10,7.496633053,12.087,12.142,0.45503,2,7.667562008,20,11
Instance_1500_16_,1500,16,10,7.354624033,12.087,12.087,0.00000,2,7.686107874,35,20
Instance_1500_16_,1500,16,50,39.57655287,13.219,13.2815,0.47280,2,41.91454387,10,6
Instance_1500_16_,1500,16,50,40.40663505,13.293,13.388,0.71466,2,42.96538401,20,11
Instance_1500_16_,1500,16,50,40.03983212,13.293,13.3885,0.71842,2,43.13026619,35,20
Instance_1500_16_,1500,16,100,79.20755768,11.42875,11.62354837,1.70446,2,85.28322196,10,6
Instance_1500_16_,1500,16,100,80.71218204,11.5948,11.85713378,2.26251,2,96.02049589,20,11
Instance_1500_16_,1500,16,100,81.01501203,11.5948,11.87151043,2.38650,2,83.02496314,35,20
Instance_1500_16_,1500,16,150,130.4773438,12.36962222,12.52879079,1.28677,2,135.8313169,10,6
Instance_1500_16_,1500,16,150,136.7730899,12.53132222,12.5698717,0.30762,2,142.4220119,20,11
Instance_1500_16_,1500,16,150,139.535465,12.53132222,12.79611587,2.11305,2,145.8394361,35,20
Instance_1500_16_,1500,16,200,174.280813,11.98525,12.1973,1.76926,2,178.361779,10,6
Instance_1500_16_,1500,16,200,183.4978859,12.15465,12.45415,2.46408,2,190.4158592,20,11
Instance_1500_16_,1500,16,200,188.5033672,12.15465,12.1772,0.18553,2,192.5812042,35,20
,,,,,,,,,,,
