name,I size,L size,S size,model time,best obj,best bound,gap %,status,total time,k1
Instance_500_16_,500,16,10,0.842362165,-146.524,-146.524,3.88E-14,2,1.034796,35
Instance_500_16_,500,16,50,4.467146873,-25.948,-25.948,1.20E-12,2,5.439017773,35
Instance_500_16_,500,16,100,9.491769791,-7.2848,-7.2848,0,2,11.45549893,35
Instance_500_16_,500,16,150,14.83087111,-1.931644444,-1.931644444,0,2,17.56746411,35
Instance_500_16_,500,16,200,21.02139616,1.9976,1.9976,0,2,24.66450667,35
Instance_900_16_,900,16,10,1.234588146,-170.116,-170.116,0,2,1.492315769,35
Instance_900_16_,900,16,50,5.921432018,-22.796,-22.796,1.54E-12,2,7.908781052,35
Instance_900_16_,900,16,100,11.72344685,-5.6064,-5.6064,0,2,14.02494526,35
Instance_900_16_,900,16,150,17.86496902,0.861244444,0.861244444,0,2,21.2593863,35
Instance_900_16_,900,16,200,24.56778598,3.4624,3.4624,0,2,29.08424234,35
Instance_1500_16_,1500,16,10,1.383785963,-155.748,-155.748,0,2,1.666945219,35
Instance_1500_16_,1500,16,50,7.704047918,-20.508,-20.508,1.44E-12,2,9.084458113,35
Instance_1500_16_,1500,16,100,14.58683085,-3.5968,-3.5968,0,2,17.0943749,35
Instance_1500_16_,1500,16,150,22.15998793,2.155288889,2.155288889,0,2,26.29464412,35
Instance_1500_16_,1500,16,200,29.37507915,5.224,5.224,0,2,34.91426468,35
