"I","L","Amb 1","Amb 2","Mean % Full","Mean % P1","Mean % P2","Mean % P3","Mean % Null"
10,16,10,6,20.5985683680115,1.50947591884803,70.3197678056624,1.01319694733381,6.2293092692861
50,16,10,6,20.3858558454273,1.86483980987765,70.8160550760204,2.45751410225177,4.4757351664229
100,16,10,6,18.2553474105292,4.0173896178422,62.9549118582962,8.7577166200883,6.01463449324407
150,16,10,6,17.3208127952444,5.31484674282681,56.2689701953387,16.9567087026418,4.13866156394838
200,16,10,6,13.8258906546825,4.72907131982026,46.4201878347257,30.1261247678012,4.89872542297033
10,16,20,11,20.5985683680115,1.88775828164653,71.2982526569798,1.48107442090388,4.67374021185222
50,16,20,11,20.7827966141255,1.96267838764463,71.1489793805953,2.0315740015016,4.07397161613303
100,16,20,11,18.7723645931186,3.76647948311528,64.7874010966765,7.80766923016877,4.86608559692083
150,16,20,11,19.6115472148182,3.22865175628149,66.915531954636,6.04522918043651,4.19903989382781
200,16,20,11,15.4784265835463,4.61568700051625,52.8269344662092,22.6709691681993,4.40798278152898
10,16,35,20,20.7414255108687,1.94836434225259,71.9082286069557,1.48107442090388,3.86030105841307
50,16,35,20,21.2600329638797,1.70063620476357,71.840863387645,1.66602791587368,3.53243952783797
100,16,35,20,19.4070724358197,3.39119964465173,65.9182796845422,6.77721935837756,4.50622887660885
150,16,35,20,20.1268557504428,2.87789107859001,68.3992119044639,4.58674680716436,4.00929445933891
200,16,35,20,16.0243289544045,5.08901903728255,53.6888650828446,21.2542410992699,3.94354582619849
